year,month,Origincountry,Destinationcountry,BudgetAmount,FiscalYearPeriod
2009,01,France,Belgium,10300.0,January 2021
2010,03,France,Ireland,470.4,December 2020
2008,12,France,Italy,107407.46,December 2022
2008,12,France,Luxembourg,12160.0,December 2023
2008,11,France,Mauritania,421004.2,January 2020
2009,02,France,Morocco,4457.2,January 2021
2009,03,France,Portugal,23049.0,May 2020
2008,12,France,Singapore,21.26,July 2020
2011,04,France,Spain,13406.4,September 2020
1984,01,France,Sweden,235.2,October 2020
1965,01,France,United Kingdom,2116.8,January 2020
2007,07,France (Customs),Albania,23402.4,February 2020
2008,12,France (Customs),Angola,29517.6,April 2020
2017,10,France (Customs),Belgium,49862.4,May 2021
2009,07,France (Customs),Denmark,62210.4,July 2021
2009,12,France (Customs),Greece,276480.0,October 2021
2009,09,France (Customs),Ireland,136800.0,January 2021
2009,07,France (Customs),Israel,66013.2,February 2021
2009,12,France (Customs),Italy,19536.0,December 2019
2009,10,France (Customs),Luxembourg,42840.0,December 2020
2009,09,France (Customs),Mauritania,7770.0,December 2020
2009,11,France (Customs),Morocco,41082.0,December 2021
2013,12,France (Customs),Netherlands,0.0,December 2022
2009,12,France (Customs),Poland,57535.8,December 2023
2009,12,France (Customs),Romania,76700.0,December 2021
2009,12,France (Customs),Singapore,294.0,December 2022
2010,02,France (Customs),Slovenia,92040.0,December 2023
2010,12,France (Customs),Spain,46020.0,January 2020
2009,12,France (Customs),Sweden,94720.0,January 2021
2010,07,France (Customs),Switzerland,161040.0,January 2022
2011,03,Germany (Customs),Australia,29244.6,June 2020
2010,05,Germany (Customs),Bahrain,512.5,September 2020
2010,03,Germany (Customs),Belgium,29244.6,October 2020
2010,03,Germany (Customs),Brazil,0.15,November 2020
2010,03,Germany (Customs),Bulgaria,5.2,December 2020
2008,08,Germany (Customs),Chile,25.77,January 2020
2010,07,Germany (Customs),Colombia,28031.2,February 2020
2010,07,Germany (Customs),Croatia,15966.72,April 2020
2010,07,Germany (Customs),Czech Republic,25868.0,January 2021
2010,07,Germany (Customs),Denmark,2661.12,May 2021
2010,07,Germany (Customs),Egypt,14272.0,June 2021
2010,07,Germany (Customs),Estonia,12096.0,July 2021
2010,07,Germany (Customs),Finland,15200.0,August 2021
2010,10,Germany (Customs),France,13536.0,September 2021
2009,07,Germany (Customs),Georgia,114034.5,November 2021
2010,05,Germany (Customs),Ghana,114034.5,December 2021
2011,04,Germany (Customs),Greece,8928.48,January 2021
2010,07,Germany (Customs),Guatemala,3240.0,February 2021
2010,07,Germany (Customs),Hong Kong,137.0,December 2019
2010,07,Germany (Customs),Hungary,1676.12,December 2020
2010,09,Germany (Customs),India,11570.0,December 2020
2010,08,Germany (Customs),Iraq,3460.8,December 2022
2010,11,Germany (Customs),Ireland,195.8,December 2023
2010,12,Germany (Customs),Israel,50.01,December 2020
2010,10,Germany (Customs),Japan,88872.96,December 2022
2010,12,Germany (Customs),"Korea, South",7159.68,December 2023
2005,01,Germany (Customs),Lithuania,151200.0,January 2022
2005,01,Germany (Customs),Luxembourg,318.14,January 2023
2010,11,Germany (Customs),Malaysia,33600.0,May 2020
2011,04,Germany (Customs),Moldova,60480.0,June 2020
2010,12,Germany (Customs),Morocco,138060.0,July 2020
2010,12,Germany (Customs),New Zealand,1272.6,September 2020
2010,12,Germany (Customs),Qatar,114945.6,February 2020
2011,03,Germany (Customs),Russia,210.4,January 2021
2011,02,Germany (Customs),Saudi Arabia,105.2,May 2021
2011,02,Germany (Customs),Slovakia,3644.0,August 2021
2014,03,Germany (Customs),Spain,10350.0,November 2021
2011,03,Germany (Customs),Switzerland,3644.0,January 2021
2011,08,Germany (Customs),Taiwan,3644.0,February 2021
2011,03,Germany (Customs),Thailand,10350.0,December 2019
2010,08,Germany (Customs),Ukraine,10350.0,December 2020
2011,01,Germany (Customs),United Arab Emirates,3644.0,December 2021
2011,09,Germany (Customs),United States,10350.0,December 2023
2011,03,Germany (Customs),Vietnam,3644.0,December 2021
2011,03,Greece,Cyprus,10350.0,December 2022
2011,03,Greece,Germany,3644.0,December 2023
2011,04,Guatemala,El Salvador,4350.0,January 2020
2013,02,Iran,Azerbaijan,3644.0,January 2023
2013,02,Iran,Iraq,7288.0,May 2020
2013,02,Ireland (Customs),Israel,18220.0,June 2020
2013,02,Ireland (Customs),Taiwan,63104.0,July 2020
2013,02,Japan,Bangladesh,15776.0,September 2020
2013,02,Japan,India,157760.0,November 2020
2011,04,Japan,"Korea, South",96072.0,January 2020
2011,05,Japan,Morocco,309986.0,April 2020
2011,06,Japan,Singapore,481000.0,May 2021
2011,04,Japan,Vietnam,370000.0,September 2021
2011,04,Kenya,Malawi,236779.2,November 2021
2011,04,Kenya,Tanzania,185000.0,January 2021
2011,04,Kenya,Uganda,370000.0,February 2021
2011,04,Lithuania,Finland,74000.0,December 2020
2011,06,Lithuania,Latvia,64540.0,December 2020
2010,07,Peru,Dominican Republic,27600.0,December 2023
2012,06,Philippines,India,460000.0,December 2021
2011,04,Poland (Customs),Hungary,444000.0,January 2022
2011,04,Poland (Customs),Lithuania,185000.0,June 2020
2011,09,Poland (Customs),Slovakia,222000.0,July 2020
2011,09,Poland (Customs),United States,184000.0,August 2020
2019,04,Portugal,Angola,226500.0,September 2020
2011,08,Portugal,Ireland,990000.0,October 2020
2011,10,Qatar,Singapore,1258530.0,January 2020
2012,04,Qatar,Switzerland,1355340.0,February 2020
2012,02,Russia,Azerbaijan,12908.0,May 2021
2011,10,Russia,Georgia,1097180.0,July 2021
2011,10,Russia,Kazakhstan,677670.0,September 2021
2012,03,Russia,Mongolia,92000.0,February 2021
2011,12,Russia,Uzbekistan,21200.0,December 2020
2011,08,Serbia,Bosnia & Herzegovina,21200.0,December 2020
2017,07,Serbia,Greece,12720.0,December 2022
2011,10,Serbia,Montenegro,8480.0,December 2023
2011,10,Singapore,Malaysia,193100.0,December 2022
2011,11,Singapore,Taiwan,251030.0,December 2023
2012,01,South Africa,Lesotho,38620.0,January 2021
2010,03,South Africa,Malawi,374400.0,January 2022
2011,11,South Africa,Namibia,359400.0,January 2023
2013,06,South Africa,Swaziland,263560.0,May 2020
2014,04,South Korea,Australia,5082.0,July 2020
2012,02,South Korea,China,5380.0,September 2020
2011,11,South Korea,Indonesia,63388.0,December 2020
2013,09,South Korea,Vietnam,18112.0,July 2021
2012,03,Spain,Belgium,9056.0,November 2021
2012,03,Spain,Cyprus,276000.0,February 2021
2011,12,Spain,Czech Republic,165600.0,December 2019
2012,04,Spain,Egypt,226848.0,December 2020
2012,11,Spain,France,119600.0,December 2020
2012,03,Spain,Germany,110400.0,December 2021
2011,10,Spain,Greece,109872.0,December 2022
2012,05,Spain,Ireland,184096.0,December 2021
2012,03,Spain,Melilla,184000.0,January 2020
2012,04,Spain,Mexico,16992.0,January 2021
2012,04,Spain,Moldova,53376.0,January 2022
2012,03,Spain,Morocco,226824.0,May 2020
2013,03,Spain,Niger,226824.0,August 2020
2012,07,Spain,Poland,16992.0,October 2020
2012,05,Spain (Customs),Argentina,33984.0,August 2021
2012,09,Spain (Customs),Belgium,727833.6,September 2021
2012,07,Spain (Customs),Bulgaria,215808.0,October 2021
2012,07,Spain (Customs),Cyprus,467584.0,December 2021
2012,08,Spain (Customs),Czech Republic,134784.0,January 2021
2020,06,Spain (Customs),Egypt,197824.0,February 2021
2012,08,Spain (Customs),Ireland,283046.4,December 2023
2018,11,Spain (Customs),Mexico,86652.0,December 2022
2013,07,Spain (Customs),Moldova,679616.0,December 2023
2012,09,Spain (Customs),New Zealand,236600.0,January 2023
2012,09,Spain (Customs),Niger,53546.4,May 2020
2012,09,Spain (Customs),Peru,236600.0,June 2020
2012,09,Spain (Customs),Russia,9476.8,September 2020
2012,09,Spain (Customs),Switzerland,9476.8,November 2020
2013,02,Switzerland,Germany,18953.6,April 2020
2013,01,Taiwan,China,14215.2,January 2021
2012,12,Taiwan,Japan,4738.4,July 2021
2012,10,Taiwan,Philippines,9476.8,October 2021
2012,10,Taiwan,Singapore,5328.0,November 2021
2012,10,Taiwan,Vietnam,392860.0,February 2021
2014,04,Thailand,Brazil,186608.5,December 2020
2012,12,Thailand,Hong Kong,105500.0,December 2022
2012,10,Thailand,Indonesia,464200.0,December 2023
2013,11,Thailand,Laos,12040.0,December 2021
2013,01,Thailand,Philippines,15050.0,December 2022
2013,08,United Kingdom HMRC,France,30100.0,January 2021
2012,12,United Kingdom HMRC,Israel,15050.0,May 2020
2012,12,United Kingdom HMRC,Sweden,30100.0,September 2020
2012,12,United States,Canada,60200.0,November 2020
2012,09,United States,Ecuador,30100.0,December 2020
2013,04,United States,El Salvador,30100.0,January 2020
2013,02,United States,Ireland,45150.0,April 2020
2013,02,United States,Israel,30100.0,January 2021
2013,02,United States,Japan,45150.0,June 2021
2013,01,United States,"Korea, South",30100.0,July 2021
2013,01,United States,Mexico,30100.0,August 2021
2013,04,United States,Netherlands,105350.0,September 2021
2013,02,United States (CIF),Canada,5056.0,February 2021
2013,08,United States (CIF),Ecuador,5056.0,December 2019
2013,01,United States (CIF),Germany,153360.0,December 2020
2012,12,United States (CIF),United Kingdom,28745.28,January 2022
2013,01,United States (Consumption/Domestic),Bahamas,315552.24,January 2023
2014,07,United States (Consumption/Domestic),Canada,18315.36,May 2020
2013,03,United States (Consumption/Domestic),El Salvador,147168.0,July 2020
2014,03,United States (Consumption/Domestic),Germany,208192.0,August 2020
2013,06,United States (Consumption/Domestic),Ireland,14372.64,September 2020
2013,03,United States (Consumption/Domestic),Jamaica,18315.36,November 2020
2013,08,United States (Consumption/Domestic),Japan,86235.84,December 2020
2013,04,United States (Consumption/Domestic),Taiwan,18315.36,May 2021
2013,07,United States (Consumption/Domestic),United Kingdom,378360.0,June 2021
2013,07,United States (HS 8),Bahamas,371051.52,July 2021
2013,07,United States (HS 8),Canada,150249.6,August 2021
2013,10,United States (HS 8),Ecuador,37729.44,September 2021
2013,05,United States (HS 8),El Salvador,37729.44,October 2021
2013,10,United States (HS 8),Germany,188150.4,November 2021
2013,05,United States (HS 8),"Korea, South",78072.0,December 2020
2014,04,United States (HS 8),Netherlands,50654.0,December 2021
2013,10,United States (HS 8),Singapore,144288.0,December 2022
2014,09,United States (HS 8),Taiwan,123876.0,December 2023
2021,08,Uruguay,Rio Negro (Uruguay),14156.64,December 2022
2013,07,Vietnam (BOL),Cambodia,36126.72,December 2023
2013,08,Vietnam (BOL),Cambodia,288576.0,January 2021
2013,10,Uruguay,Punta Pereira (Uruguay),102400.0,January 2023
2013,10,United States (HS 8),United Kingdom,156240.0,July 2020
2013,12,United States (HS 8),Mexico,535680.0,November 2020
2013,08,United States (HS 8),Malaysia,245520.0,December 2020
2019,06,United States (HS 8),"Korea, South",111600.0,January 2020
9999,01,United States (HS 8),Denmark,285120.0,August 2021
2013,10,United States (HS 8),Ecuador,51609.6,September 2021
2014,10,United States (Consumption/Domestic),New Zealand,163680.0,December 2019
2013,10,United States (Consumption/Domestic),Mexico,137640.0,December 2020
2013,10,United States (Consumption/Domestic),"Korea, South",315828.0,December 2021
2013,10,United States (Consumption/Domestic),Malaysia,281600.0,December 2022
2013,08,United States (Consumption/Domestic),Jamaica,1126400.0,December 2020
2013,10,United States (Consumption/Domestic),Israel,44640.0,December 2021
2013,10,United States (Consumption/Domestic),Germany,1126400.0,December 2022
2013,12,United States (Consumption/Domestic),Ecuador,985600.0,December 2023
2013,12,United States (Consumption/Domestic),Denmark,94880.0,January 2020
2013,12,United States (Consumption/Domestic),Canada,140800.0,January 2021
9999,01,United States (Consumption/Domestic),Bahamas,140800.0,January 2022
9999,01,United States (CIF),United Kingdom,140800.0,January 2023
9999,01,United States (Consumption/Domestic),Australia,30640.0,May 2020
9999,01,United States (CIF),Singapore,7392.0,June 2020
9999,01,United States (CIF),Taiwan,563200.0,July 2020
9999,01,United States (CIF),New Zealand,422400.0,August 2020
9999,01,United States (CIF),Mexico,281600.0,September 2020
9999,01,United States (CIF),Netherlands,281600.0,October 2020
9999,01,United States (CIF),Malaysia,42240.0,November 2020
2013,12,United States (CIF),"Korea, South",140800.0,December 2020
2013,12,United States (CIF),Japan,140800.0,January 2020
2013,12,United States (CIF),Jamaica,96000.0,February 2020
2014,06,United States (CIF),Israel,48000.0,April 2020
2014,05,United States (CIF),Germany,48000.0,January 2021
2014,05,United States (CIF),Ecuador,151200.0,May 2021
2014,10,United States (CIF),Denmark,21600.0,June 2021
2014,01,United States (CIF),Bahamas,24156.0,September 2021
2014,09,United States,United Kingdom,40900.0,October 2021
2016,05,United States,New Zealand,23.28,December 2019
2014,10,United States,Malaysia,168800.0,December 2020
2014,04,United States,"Korea, South",253200.0,December 2021
2014,02,United States,Jamaica,63300.0,December 2023
2014,01,United States,Israel,126600.0,December 2020
2010,01,United States,Germany,464200.0,December 2021
2004,08,United States,China,211000.0,January 2020
2014,05,United States,Bahamas,211000.0,January 2022
2014,03,United Kingdom HMRC,Spain,608440.0,May 2020
9999,01,United Kingdom HMRC,Netherlands,642490.91,June 2020
2014,03,United Kingdom HMRC,Poland,13038.0,July 2020
2014,03,United Kingdom HMRC,Israel,478060.0,August 2020
2014,04,United Kingdom HMRC,Ireland,21730.0,September 2020
2016,09,United Kingdom HMRC,Germany,478060.0,October 2020
2014,04,United Kingdom HMRC,France,9200.0,November 2020
2014,06,Turkey,Germany,9800.0,December 2020
2014,06,Turkey,Turk. Rep. of N. Cyprus,47400.0,January 2020
2014,04,Thailand,Philippines,528000.0,January 2021
9999,01,Thailand,Singapore,79810.0,May 2021
2012,12,Thailand,Laos,275553.0,June 2021
2014,08,Thailand,Hong Kong,5955.0,September 2021
2020,09,Thailand,Australia,98000.0,December 2021
2014,10,Thailand,Brazil,218400.0,February 2021
2014,09,Taiwan,Vietnam,182000.0,December 2020
2014,07,Taiwan,United States,540300.0,December 2020
2014,08,Taiwan,Netherlands,58401.0,December 2020
2014,07,Taiwan,Japan,182000.0,December 2022
2014,07,Taiwan,Israel,141450.0,December 2023
2017,07,Switzerland,Pakistan,30060.0,January 2022
2014,10,Switzerland,Germany,40477.5,January 2023
2015,02,Switzerland,United Kingdom,194400.0,May 2020
2015,02,Switzerland,France,200000.0,June 2020
2015,07,Sweden,United Kingdom,50688.0,September 2020
2014,10,Switzerland,Austria,73150.0,November 2020
2014,11,Spain (Customs),Taiwan,64800.0,December 2020
2016,03,Spain (Customs),Vietnam,203632.0,January 2020
2014,10,Spain (Customs),Portugal,65998.8,August 2021
2015,03,Spain (Customs),Morocco,34463.52,October 2021
2015,03,Spain (Customs),Italy,285000.0,November 2021
2016,10,Spain (Customs),Greece,65440.7,February 2021
2015,01,Spain (Customs),France,65208.0,December 2019
2015,05,Spain (Customs),Czech Republic,34463.52,December 2020
2015,01,Spain (Customs),Colombia,34463.52,December 2021
2015,04,Spain (Customs),China,34463.52,December 2022
2015,03,Spain (Customs),Belgium,18514.44,December 2020
2015,03,Spain (Customs),Brazil,0.0,December 2021
2015,03,Spain (Customs),Andorra,7953.12,December 2022
2015,05,Spain (Customs),Angola,0.0,December 2023
2015,03,Spain,Taiwan,5168.0,January 2022
2015,06,Spain,Sweden,21168.0,May 2020
2015,05,Spain,Saudi Arabia,38592.0,July 2020
2015,05,Spain,Singapore,34288.2,August 2020
2014,09,Spain,Romania,40150.0,September 2020
2016,01,Spain,Portugal,57680.0,October 2020
2015,10,Spain,Netherlands,200000.0,November 2020
2015,11,Spain,Morocco,8828.8,December 2020
1985,05,Spain,Melilla,203632.0,January 2020
2015,09,Spain,Italy,86152.0,February 2020
2016,01,Spain,Luxembourg,41433.6,April 2020
2020,12,Spain,Ireland,41433.6,January 2021
2020,12,Spain,Hungary,37624.8,May 2021
2016,07,Spain,Greece,1411.2,July 2021
2015,11,Spain,France,53868.8,September 2021
2020,12,Spain,Colombia,0.0,December 2021
2016,05,Spain,Bulgaria,36448.0,February 2021
2015,12,Spain,Belgium,0.0,December 2020
2015,12,Spain,Angola,54900.0,December 2021
2016,01,Spain,Andorra,40150.0,December 2022
2016,01,Spain,Algeria,128480.0,December 2023
2018,06,South Korea,Vietnam,42340.0,December 2020
2016,07,South Korea,Thailand,53352.0,December 2021
2015,12,South Korea,Singapore,2946.0,January 2020
2018,06,South Korea,Pakistan,73521.0,January 2021
2017,09,South Korea,Philippines,0.0,January 2022
2017,07,South Korea,Indonesia,54999.0,June 2020
2015,02,South Korea,India,432240.0,July 2020
2015,02,South Korea,Hong Kong,36600.0,August 2020
2016,03,South Korea,Fiji,129864.24,September 2020
2018,03,South Korea,Chile,33739.2,November 2020
2016,04,South Africa,Zimbabwe,1780.0,December 2020
2016,04,South Africa,Zambia,1780.0,February 2020
2016,08,South Africa,Namibia,33739.2,April 2020
2016,06,South Africa,Mozambique,1780.0,May 2021
2016,06,South Africa,Malawi,0.0,June 2021
2016,06,South Africa,Lesotho,33739.2,July 2021
2016,06,South Africa,Botswana,1780.0,August 2021
2016,09,Slovenia,Serbia,17248.0,September 2021
2018,11,Slovenia,Croatia,2352.0,October 2021
2017,11,Slovenia,Italy,33739.2,December 2021
2016,09,Slovenia,Macedonia,33739.2,January 2021
2017,02,Slovakia,Austria,1780.0,February 2021
2016,11,Slovakia,Bulgaria,65790.0,December 2019
2017,01,Slovakia,Czech Republic,65790.0,December 2020
2015,06,Slovenia,Bosnia & Herzegovina,7022.4,December 2022
2017,02,Singapore,Taiwan,40320.0,December 2023
2017,09,Singapore,Thailand,200000.0,December 2020
2016,08,Singapore,"Korea, South",702390.0,January 2022
2016,10,Serbia,Bosnia & Herzegovina,52214.4,May 2020
2016,09,Russia,Tajikistan,65790.0,July 2020
2016,06,Russia,Mongolia,324000.0,August 2020
2018,03,Russia,Lithuania,216120.0,September 2020
2016,10,Romania,Serbia,90900.0,June 2021
2014,10,Qatar,United States,41200.0,July 2021
2017,05,Romania,Czech Republic,80692.5,August 2021
2016,12,Qatar,Singapore,7310.0,October 2021
2016,11,Portugal,Spain,95030.0,December 2021
2016,10,Portugal,Angola,201600.0,January 2021
2016,12,Poland (Customs),Slovakia,13632.0,February 2021
2016,12,Poland (Customs),Turkey,12963.6,December 2019
2017,06,Poland (Customs),Lithuania,55036.8,December 2020
2017,01,Poland (Customs),Malta,55036.8,December 2020
2017,01,Poland (Customs),Italy,27200.0,December 2023
2017,02,Poland (Customs),Hungary,95030.0,December 2020
2017,02,Poland (Customs),Algeria,95030.0,December 2023
2017,02,Poland,Malta,74025.0,January 2022
2017,02,Poland,Morocco,0.0,January 2023
2017,02,Poland,Netherlands,63782.4,May 2020
2017,02,Poland,Turkey,55036.8,June 2020
2017,02,Poland,Slovakia,55036.8,July 2020
2017,02,Philippines,Mexico,170117.6,August 2020
2017,02,Philippines,Singapore,0.0,September 2020
2017,02,Philippines,Thailand,43945.6,October 2020
2017,03,Poland,Algeria,40150.0,November 2020
2017,02,Poland,Austria,33800.0,December 2020
2017,02,Poland,Germany,18800.0,February 2020
2017,03,Poland,Hungary,24240.0,April 2020
2017,02,Poland,Italy,72940.5,January 2021
2017,02,Peru,Chile,60900.0,May 2021
2017,02,New Zealand,Niue,41660.8,June 2021
2017,03,Netherlands,United Kingdom,114660.0,July 2021
2017,02,New Zealand,Vanuatu,17248.0,August 2021
2017,02,Netherlands,Sweden,540300.0,September 2021
2017,02,Netherlands,Slovakia,65790.0,October 2021
2017,02,Netherlands,Slovenia,95030.0,November 2021
2017,02,Netherlands,South Africa,108060.0,December 2021
2017,03,Netherlands,Spain,17248.0,January 2021
2017,02,Netherlands,Greece,94737.6,December 2019
2017,02,Netherlands,Guyana,216120.0,December 2020
2017,02,Netherlands,Hungary,17776.0,December 2020
2017,03,Netherlands,Iceland,23520.0,December 2021
2017,02,Netherlands,Ireland,1600.0,December 2022
2017,02,Netherlands,Italy,65790.0,December 2023
2017,02,Netherlands,Latvia,95030.0,December 2020
2017,02,Netherlands,Lithuania,17776.0,December 2021
2017,03,Netherlands,Luxembourg,65790.0,December 2022
2017,03,Netherlands,Mali,95030.0,December 2023
2017,02,Netherlands,Malta,4040.0,January 2020
2017,03,Netherlands,Niger,80410.0,January 2021
2017,03,Netherlands,Non-EU Suppression,216120.0,January 2022
2017,03,Netherlands,Not Determin Extra EU Trade,72940.5,January 2023
2017,03,Netherlands,Panama,216120.0,May 2020
2017,02,Netherlands,Portugal,95030.0,June 2020
2017,02,Netherlands,Romania,10504.0,July 2020
2018,03,Lithuania,Latvia,19404.0,August 2020
2017,02,Japan,United States,119280.0,August 2021
2017,02,Malaysia,Singapore,38400.0,September 2021
2017,02,Malaysia,Sri Lanka,38400.0,October 2021
2017,02,Malaysia,Sudan,15768.0,November 2021
2017,02,Mexico,Chile,84096.0,December 2021
2017,03,Mexico,Guatemala,38952.0,January 2021
2017,02,Mexico,United States,10512.0,February 2021
2017,02,Netherlands,Austria,84096.0,December 2019
2017,02,Netherlands,Belgium,38952.0,December 2020
2017,03,Netherlands,Bulgaria,41160.0,December 2020
2017,02,Netherlands,Burkina Faso,38400.0,December 2021
2017,02,Netherlands,Cameroon,11400.0,December 2022
2017,10,Netherlands,Costa Rica,3246.0,December 2023
2017,02,Netherlands,Denmark,145881.0,December 2022
2017,03,Netherlands,Dominican Republic,25640.0,December 2023
2017,02,Netherlands,Estonia,25640.0,January 2020
2017,02,Netherlands,EU Suppression,289060.5,January 2021
2017,02,Netherlands,Finland,43920.0,January 2022
2017,02,Netherlands,France,16800.0,January 2023
2017,03,Netherlands,Gabon,18128.0,May 2020
2017,02,Japan,Turkey,131208.0,June 2020
2017,02,Japan,Thailand,8100.0,July 2020
2017,04,Japan,Taiwan,15656.0,August 2020
2017,02,Japan,Philippines,18128.0,September 2020
2017,02,Japan,Malaysia,189105.0,October 2020
2017,02,Japan,Indonesia,189105.0,November 2020
2017,02,Japan,"Korea, South",199911.0,December 2020
2017,02,Japan,India,8240.0,January 2020
2017,02,Japan,Chile,18128.0,February 2020
2017,02,Japan,Bangladesh,15656.0,April 2020
2017,02,Italy Istat,Spain,9344.16,January 2021
2017,02,Italy Istat,Switzerland,578121.0,May 2021
2017,03,Italy Istat,Thailand,181000.5,June 2021
2017,02,Italy Istat,Pakistan,18688.32,July 2021
2017,02,Italy Istat,Qatar,70239.0,August 2021
2017,02,Italy Istat,Romania,9600.0,September 2021
2017,02,Italy Istat,Slovenia,40750.0,October 2021
2017,03,Italy,Romania,11410.0,November 2021
2017,03,Italy,Slovenia,6229.44,December 2021
2017,02,Italy,Spain,19055.0,January 2021
2017,02,Italy,Switzerland,369768.0,February 2021
2017,02,Italy,Thailand,299520.0,December 2019
2017,02,Italy Istat,Albania,299520.0,December 2020
2017,02,Italy Istat,Belgium,4095.0,December 2020
2017,02,Italy Istat,Benin,299520.0,December 2021
2017,02,Italy Istat,Austria,17072.0,December 2022
2017,02,Italy Istat,Cuba,57165.0,December 2020
2017,02,Italy Istat,Cyprus,17072.0,December 2021
2017,02,Italy Istat,Czech Republic,17072.0,December 2022
2017,02,Italy Istat,Estonia,324000.0,December 2023
2018,09,Italy Istat,France,60208.0,January 2020
2017,02,Italy Istat,Germany,0.0,January 2021
2017,02,Italy Istat,Greece,99840.0,January 2022
2017,02,Italy Istat,Ireland,467359.5,January 2023
2017,02,Italy Istat,Lithuania,17072.0,May 2020
2017,02,Italy Istat,Malta,199680.0,June 2020
2017,02,Italy,Albania,32340.0,July 2020
2017,03,Italy,Austria,51300.0,August 2020
2017,02,Italy,Belgium,17072.0,September 2020
2017,02,Italy,Benin,43920.0,October 2020
2017,02,Ireland (Customs),Taiwan,22960.0,November 2020
2017,02,Ireland (Customs),Northern Ireland,99840.0,December 2020
2017,02,Italy,Croatia,132288.0,January 2020
2017,02,Italy,Cuba,25500.0,February 2020
2017,04,Italy,Cyprus,100800.0,April 2020
2017,04,Italy,Germany,99840.0,July 2021
2017,02,Italy,Malta,99840.0,November 2021
2018,03,Italy,Pakistan,3001.6,December 2021
2017,07,Italy,Qatar,389016.0,January 2021
2017,07,Ireland,United Kingdom,37821.0,December 2019
2017,07,Iran,Azerbaijan,96960.0,December 2020
2017,06,India,Zambia,18300.0,December 2021
2017,06,Iran,Afghanistan,96960.0,December 2022
2017,07,India,United States,214704.0,December 2023
2017,08,India,Uganda,40304.0,December 2020
2017,08,India,Maldives,121485.0,January 2023
2017,09,India,Namibia,54028.8,May 2020
2017,09,India,Nigeria,6688.0,July 2020
2017,03,India,Puerto Rico (U.S.),18700.0,October 2020
2017,12,Hungary,Austria,40800.0,November 2020
2017,12,Hungary,Czech Republic,19055.0,February 2020
2017,12,Hungary,Greece,283657.5,April 2020
2017,12,Greece,Cyprus,171000.0,January 2021
2018,03,Germany (Customs),Vietnam,364702.5,May 2021
2018,03,Greece,Albania,17776.0,June 2021
2019,12,Hungary,Moldova,27014.4,July 2021
2018,03,Hungary,Poland,18325.44,August 2021
2017,12,Hungary,Romania,17776.0,September 2021
2018,08,Hungary,Serbia,18325.44,October 2021
2018,09,Hungary,Switzerland,17776.0,December 2021
2019,02,India,Afghanistan,13184.0,January 2021
2017,12,Germany (Customs),Thailand,8500.0,December 2021
2019,03,Germany (Customs),Tajikistan,1018.08,December 2022
2020,12,Germany (Customs),Taiwan,1018.08,December 2023
2018,05,Germany (Customs),Switzerland,105849.2,January 2020
2021,02,Germany (Customs),Spain,30240.0,January 2022
2018,04,Germany (Customs),Slovenia,18325.44,May 2020
2018,01,Germany (Customs),Slovakia,60032.0,June 2020
2018,03,Germany (Customs),Serbia,32832.0,August 2020
