year,month,Origincountry,Destinationcountry,BudgetAmount,FiscalYearPeriod
,,Czech Republic,Slovenia,303.0,February 2020
,,Czech Republic,Spain,404.0,April 2020
2008,10,Czech Republic,Sweden,404.0,January 2021
,,Czech Republic,United Kingdom,202.0,May 2021
2011,04,El Salvador,Guatemala,404.0,June 2021
2008,12,El Salvador,Honduras,202.0,July 2021
,,El Salvador,Nicaragua,69775.44,August 2021
,,Estonia,Finland,45.3,September 2021
2009,12,France,Albania,10300.0,October 2021
,,France,Angola,117.6,November 2021
,,France,Austria,101.3,December 2021
2009,01,France,Belgium,10300.0,January 2021
,,France,Czech Republic,10300.0,February 2021
,,France,Denmark,405.2,December 2019
,,France,Finland,405.2,December 2020
,,France,Germany,101.3,December 2020
,,France,Greece,69216.0,December 2021
,,France,Hungary,244203.05,December 2022
,,France,India,501.6,December 2023
2010,03,France,Ireland,470.4,December 2020
,,France,Israel,607.8,December 2021
2008,12,France,Italy,107407.46,December 2022
2008,12,France,Luxembourg,12160.0,December 2023
2008,11,France,Mauritania,421004.2,January 2020
2009,02,France,Morocco,4457.2,January 2021
,,France,Netherlands,91.2,January 2022
,,France,Poland,153.6,January 2023
2009,03,France,Portugal,23049.0,May 2020
,,France,Romania,192816.0,June 2020
2008,12,France,Singapore,21.26,July 2020
,,France,Slovenia,51.6,August 2020
2011,04,France,Spain,13406.4,September 2020
1984,01,France,Sweden,235.2,October 2020
,,France,Switzerland,94550.4,November 2020
,,France,Tunisia,15052.8,December 2020
1965,01,France,United Kingdom,2116.8,January 2020
2007,07,France (Customs),Albania,23402.4,February 2020
2008,12,France (Customs),Angola,29517.6,April 2020
,,France (Customs),Austria,43512.0,January 2021
2017,10,France (Customs),Belgium,49862.4,May 2021
,,France (Customs),Czech Republic,56095.2,June 2021
2009,07,France (Customs),Denmark,62210.4,July 2021
,,France (Customs),Finland,91312.3,August 2021
,,France (Customs),Germany,39424.0,September 2021
2009,12,France (Customs),Greece,276480.0,October 2021
,,France (Customs),Hungary,17136.0,November 2021
,,France (Customs),India,14487.75,December 2021
2009,09,France (Customs),Ireland,136800.0,January 2021
2009,07,France (Customs),Israel,66013.2,February 2021
2009,12,France (Customs),Italy,19536.0,December 2019
2009,10,France (Customs),Luxembourg,42840.0,December 2020
2009,09,France (Customs),Mauritania,7770.0,December 2020
2009,11,France (Customs),Morocco,41082.0,December 2021
2013,12,France (Customs),Netherlands,0.0,December 2022
2009,12,France (Customs),Poland,57535.8,December 2023
,,France (Customs),Portugal,255150.0,December 2020
2009,12,France (Customs),Romania,76700.0,December 2021
2009,12,France (Customs),Singapore,294.0,December 2022
2010,02,France (Customs),Slovenia,92040.0,December 2023
2010,12,France (Customs),Spain,46020.0,January 2020
2009,12,France (Customs),Sweden,94720.0,January 2021
2010,07,France (Customs),Switzerland,161040.0,January 2022
,,France (Customs),Tunisia,56144.0,January 2023
,,France (Customs),United Kingdom,708390.0,May 2020
2011,03,Germany (Customs),Australia,29244.6,June 2020
,,Germany (Customs),Austria,635.11,July 2020
,,Germany (Customs),Azerbaijan,22.5,August 2020
2010,05,Germany (Customs),Bahrain,512.5,September 2020
2010,03,Germany (Customs),Belgium,29244.6,October 2020
2010,03,Germany (Customs),Brazil,0.15,November 2020
2010,03,Germany (Customs),Bulgaria,5.2,December 2020
2008,08,Germany (Customs),Chile,25.77,January 2020
2010,07,Germany (Customs),Colombia,28031.2,February 2020
2010,07,Germany (Customs),Croatia,15966.72,April 2020
2010,07,Germany (Customs),Czech Republic,25868.0,January 2021
2010,07,Germany (Customs),Denmark,2661.12,May 2021
2010,07,Germany (Customs),Egypt,14272.0,June 2021
2010,07,Germany (Customs),Estonia,12096.0,July 2021
2010,07,Germany (Customs),Finland,15200.0,August 2021
2010,10,Germany (Customs),France,13536.0,September 2021
,,Germany (Customs),Gabon,13050.0,October 2021
2009,07,Germany (Customs),Georgia,114034.5,November 2021
2010,05,Germany (Customs),Ghana,114034.5,December 2021
2011,04,Germany (Customs),Greece,8928.48,January 2021
2010,07,Germany (Customs),Guatemala,3240.0,February 2021
2010,07,Germany (Customs),Hong Kong,137.0,December 2019
2010,07,Germany (Customs),Hungary,1676.12,December 2020
2010,09,Germany (Customs),India,11570.0,December 2020
,,Germany (Customs),Indonesia,5982.24,December 2021
2010,08,Germany (Customs),Iraq,3460.8,December 2022
2010,11,Germany (Customs),Ireland,195.8,December 2023
2010,12,Germany (Customs),Israel,50.01,December 2020
,,Germany (Customs),Italy,820.75,December 2021
2010,10,Germany (Customs),Japan,88872.96,December 2022
2010,12,Germany (Customs),"Korea, South",7159.68,December 2023
,,Germany (Customs),Kuwait,34728.96,January 2020
,,Germany (Customs),Latvia,286142.0,January 2021
2005,01,Germany (Customs),Lithuania,151200.0,January 2022
2005,01,Germany (Customs),Luxembourg,318.14,January 2023
2010,11,Germany (Customs),Malaysia,33600.0,May 2020
2011,04,Germany (Customs),Moldova,60480.0,June 2020
2010,12,Germany (Customs),Morocco,138060.0,July 2020
,,Germany (Customs),Netherlands,138060.0,August 2020
2010,12,Germany (Customs),New Zealand,1272.6,September 2020
,,Germany (Customs),Norway,364.6,October 2020
,,Germany (Customs),Peru,141.0,November 2020
,,Germany (Customs),Poland,141.0,December 2020
,,Germany (Customs),Portugal,16262.4,January 2020
2010,12,Germany (Customs),Qatar,114945.6,February 2020
,,Germany (Customs),Romania,105.2,April 2020
2011,03,Germany (Customs),Russia,210.4,January 2021
2011,02,Germany (Customs),Saudi Arabia,105.2,May 2021
,,Germany (Customs),Serbia,278.78,June 2021
,,Germany (Customs),Singapore,325.4,July 2021
2011,02,Germany (Customs),Slovakia,3644.0,August 2021
,,Germany (Customs),Slovenia,10350.0,September 2021
,,Germany (Customs),South Africa,7288.0,October 2021
2014,03,Germany (Customs),Spain,10350.0,November 2021
,,Germany (Customs),Sweden,10350.0,December 2021
2011,03,Germany (Customs),Switzerland,3644.0,January 2021
2011,08,Germany (Customs),Taiwan,3644.0,February 2021
2011,03,Germany (Customs),Thailand,10350.0,December 2019
,,Germany (Customs),Turkey,3644.0,December 2020
2010,08,Germany (Customs),Ukraine,10350.0,December 2020
2011,01,Germany (Customs),United Arab Emirates,3644.0,December 2021
,,Germany (Customs),United Kingdom,7288.0,December 2022
2011,09,Germany (Customs),United States,10350.0,December 2023
,,Germany (Customs),Uruguay,3644.0,December 2020
2011,03,Germany (Customs),Vietnam,3644.0,December 2021
2011,03,Greece,Cyprus,10350.0,December 2022
2011,03,Greece,Germany,3644.0,December 2023
2011,04,Guatemala,El Salvador,4350.0,January 2020
,,Guatemala,Panama,7288.0,January 2021
,,Iran,Armenia,7288.0,January 2022
2013,02,Iran,Azerbaijan,3644.0,January 2023
2013,02,Iran,Iraq,7288.0,May 2020
2013,02,Ireland (Customs),Israel,18220.0,June 2020
2013,02,Ireland (Customs),Taiwan,63104.0,July 2020
,,Israel,Taiwan,78880.0,August 2020
2013,02,Japan,Bangladesh,15776.0,September 2020
,,Japan,Chile,47328.0,October 2020
2013,02,Japan,India,157760.0,November 2020
,,Japan,Indonesia,47328.0,December 2020
2011,04,Japan,"Korea, South",96072.0,January 2020
,,Japan,Malaysia,59200.0,February 2020
2011,05,Japan,Morocco,309986.0,April 2020
,,Japan,Philippines,185000.0,January 2021
2011,06,Japan,Singapore,481000.0,May 2021
,,Japan,Taiwan,404489.6,June 2021
,,Japan,Thailand,169128.0,July 2021
,,Japan,United States,34529.6,August 2021
2011,04,Japan,Vietnam,370000.0,September 2021
,,Kenya,Central African Republic,517944.0,October 2021
2011,04,Kenya,Malawi,236779.2,November 2021
,,Kenya,Rwanda,37000.0,December 2021
2011,04,Kenya,Tanzania,185000.0,January 2021
2011,04,Kenya,Uganda,370000.0,February 2021
,,Lithuania,Estonia,111000.0,December 2019
2011,04,Lithuania,Finland,74000.0,December 2020
2011,06,Lithuania,Latvia,64540.0,December 2020
,,New Zealand,Solomon Islands,629000.0,December 2021
,,Peru,Chile,46000.0,December 2022
2010,07,Peru,Dominican Republic,27600.0,December 2023
,,Peru,Panama,185000.0,December 2020
2012,06,Philippines,India,460000.0,December 2021
,,Philippines,Saudi Arabia,333000.0,December 2022
,,Poland (Customs),Austria,111000.0,December 2023
,,Poland (Customs),Czech Republic,22200.0,January 2020
,,Poland (Customs),Germany,111000.0,January 2021
2011,04,Poland (Customs),Hungary,444000.0,January 2022
,,Poland (Customs),Ireland,74000.0,January 2023
,,Poland (Customs),Italy,644000.0,May 2020
2011,04,Poland (Customs),Lithuania,185000.0,June 2020
2011,09,Poland (Customs),Slovakia,222000.0,July 2020
2011,09,Poland (Customs),United States,184000.0,August 2020
2019,04,Portugal,Angola,226500.0,September 2020
2011,08,Portugal,Ireland,990000.0,October 2020
,,Portugal,Spain,222000.0,November 2020
,,Qatar,Japan,226500.0,December 2020
2011,10,Qatar,Singapore,1258530.0,January 2020
2012,04,Qatar,Switzerland,1355340.0,February 2020
,,Qatar,United Arab Emirates,64540.0,April 2020
,,Russia,Albania,83902.0,January 2021
2012,02,Russia,Azerbaijan,12908.0,May 2021
,,Russia,Belarus,96810.0,June 2021
2011,10,Russia,Georgia,1097180.0,July 2021
,,Russia,Germany,129080.0,August 2021
2011,10,Russia,Kazakhstan,677670.0,September 2021
,,Russia,Kyrgyzstan,290430.0,October 2021
,,Russia,Latvia,645400.0,November 2021
,,Russia,Lithuania,230000.0,December 2021
,,Russia,Moldova,230000.0,January 2021
2012,03,Russia,Mongolia,92000.0,February 2021
,,Russia,Ukraine,460000.0,December 2019
2011,12,Russia,Uzbekistan,21200.0,December 2020
2011,08,Serbia,Bosnia & Herzegovina,21200.0,December 2020
,,Serbia,Bulgaria,9328.0,December 2021
2017,07,Serbia,Greece,12720.0,December 2022
2011,10,Serbia,Montenegro,8480.0,December 2023
,,Serbia,Romania,74880.0,December 2020
,,Singapore,"Korea, South",124800.0,December 2021
2011,10,Singapore,Malaysia,193100.0,December 2022
2011,11,Singapore,Taiwan,251030.0,December 2023
,,South Africa,Botswana,174720.0,January 2020
2012,01,South Africa,Lesotho,38620.0,January 2021
2010,03,South Africa,Malawi,374400.0,January 2022
2011,11,South Africa,Namibia,359400.0,January 2023
2013,06,South Africa,Swaziland,263560.0,May 2020
,,South Africa,Zimbabwe,119800.0,June 2020
2014,04,South Korea,Australia,5082.0,July 2020
,,South Korea,Chile,7966.6,August 2020
2012,02,South Korea,China,5380.0,September 2020
,,South Korea,Hong Kong,53600.0,October 2020
,,South Korea,India,18112.0,November 2020
2011,11,South Korea,Indonesia,63388.0,December 2020
,,South Korea,Japan,82680.0,January 2020
,,South Korea,Malaysia,26800.0,February 2020
,,South Korea,Philippines,11092.0,April 2020
,,South Korea,Singapore,9056.0,January 2021
,,South Korea,Taiwan,80400.0,May 2021
,,South Korea,Thailand,16968.0,June 2021
2013,09,South Korea,Vietnam,18112.0,July 2021
,,Spain,Algeria,53600.0,August 2021
,,Spain,Andorra,18000.0,September 2021
,,Spain,Argentina,54000.0,October 2021
2012,03,Spain,Belgium,9056.0,November 2021
,,Spain,Bulgaria,18476.0,December 2021
,,Spain,Colombia,192752.0,January 2021
2012,03,Spain,Cyprus,276000.0,February 2021
2011,12,Spain,Czech Republic,165600.0,December 2019
2012,04,Spain,Egypt,226848.0,December 2020
2012,11,Spain,France,119600.0,December 2020
2012,03,Spain,Germany,110400.0,December 2021
2011,10,Spain,Greece,109872.0,December 2022
,,Spain,Hong Kong,258132.0,December 2023
,,Spain,Hungary,184096.0,December 2020
2012,05,Spain,Ireland,184096.0,December 2021
,,Spain,Italy,239200.0,December 2022
,,Spain,Malta,67968.0,December 2023
2012,03,Spain,Melilla,184000.0,January 2020
2012,04,Spain,Mexico,16992.0,January 2021
2012,04,Spain,Moldova,53376.0,January 2022
,,Spain,Montenegro,73248.0,January 2023
2012,03,Spain,Morocco,226824.0,May 2020
,,Spain,Netherlands,283046.4,June 2020
,,Spain,New Zealand,183204.0,July 2020
2013,03,Spain,Niger,226824.0,August 2020
,,Spain,Peru,95964.0,September 2020
2012,07,Spain,Poland,16992.0,October 2020
,,Spain,Portugal,26956.8,November 2020
,,Spain,Romania,16992.0,December 2020
,,Spain,Russia,104688.0,January 2020
,,Spain,Sweden,104688.0,February 2020
,,Spain,Switzerland,494560.0,April 2020
,,Spain,Tunisia,287744.0,January 2021
,,Spain,Turkey,33984.0,May 2021
,,Spain (Customs),Algeria,479820.0,June 2021
,,Spain (Customs),Andorra,279168.0,July 2021
2012,05,Spain (Customs),Argentina,33984.0,August 2021
2012,09,Spain (Customs),Belgium,727833.6,September 2021
2012,07,Spain (Customs),Bulgaria,215808.0,October 2021
,,Spain (Customs),Colombia,33984.0,November 2021
2012,07,Spain (Customs),Cyprus,467584.0,December 2021
2012,08,Spain (Customs),Czech Republic,134784.0,January 2021
2020,06,Spain (Customs),Egypt,197824.0,February 2021
,,Spain (Customs),France,197824.0,December 2019
,,Spain (Customs),Germany,134784.0,December 2020
,,Spain (Customs),Greece,179840.0,December 2020
,,Spain (Customs),Hong Kong,89920.0,December 2021
,,Spain (Customs),Hungary,341696.0,December 2022
2012,08,Spain (Customs),Ireland,283046.4,December 2023
,,Spain (Customs),Italy,238784.0,December 2020
,,Spain (Customs),Malta,238784.0,December 2021
2018,11,Spain (Customs),Mexico,86652.0,December 2022
2013,07,Spain (Customs),Moldova,679616.0,December 2023
,,Spain (Customs),Montenegro,238784.0,January 2020
,,Spain (Customs),Morocco,266336.0,January 2021
,,Spain (Customs),Netherlands,17848.8,January 2022
2012,09,Spain (Customs),New Zealand,236600.0,January 2023
2012,09,Spain (Customs),Niger,53546.4,May 2020
2012,09,Spain (Customs),Peru,236600.0,June 2020
,,Spain (Customs),Portugal,14215.2,July 2020
,,Spain (Customs),Romania,14215.2,August 2020
2012,09,Spain (Customs),Russia,9476.8,September 2020
,,Spain (Customs),Sweden,4738.4,October 2020
2012,09,Spain (Customs),Switzerland,9476.8,November 2020
,,Spain (Customs),Tunisia,9476.8,December 2020
,,Spain (Customs),Turkey,9476.8,January 2020
,,Switzerland,France,4738.4,February 2020
2013,02,Switzerland,Germany,18953.6,April 2020
2013,01,Taiwan,China,14215.2,January 2021
,,Taiwan,Ireland,9476.8,May 2021
,,Taiwan,Israel,14215.2,June 2021
2012,12,Taiwan,Japan,4738.4,July 2021
,,Taiwan,Malaysia,9476.8,August 2021
,,Taiwan,Netherlands,18953.6,September 2021
2012,10,Taiwan,Philippines,9476.8,October 2021
2012,10,Taiwan,Singapore,5328.0,November 2021
,,Taiwan,Thailand,5328.0,December 2021
,,Taiwan,United States,191610.0,January 2021
2012,10,Taiwan,Vietnam,392860.0,February 2021
,,Thailand,Argentina,176787.0,December 2019
,,Thailand,Australia,166965.5,December 2020
2014,04,Thailand,Brazil,186608.5,December 2020
,,Thailand,Cambodia,358700.0,December 2021
2012,12,Thailand,Hong Kong,105500.0,December 2022
2012,10,Thailand,Indonesia,464200.0,December 2023
,,Thailand,Japan,12040.0,December 2020
2013,11,Thailand,Laos,12040.0,December 2021
2013,01,Thailand,Philippines,15050.0,December 2022
,,Thailand,Vietnam,30100.0,December 2023
,,Turkey,Albania,30100.0,January 2020
2013,08,United Kingdom HMRC,France,30100.0,January 2021
,,United Kingdom HMRC,Germany,30100.0,January 2022
,,United Kingdom HMRC,Ireland,12040.0,January 2023
2012,12,United Kingdom HMRC,Israel,15050.0,May 2020
,,United Kingdom HMRC,Netherlands,30100.0,June 2020
,,United Kingdom HMRC,Saudi Arabia,30100.0,July 2020
,,United Kingdom HMRC,Spain,30100.0,August 2020
2012,12,United Kingdom HMRC,Sweden,30100.0,September 2020
,,United States,Bahamas,75250.0,October 2020
2012,12,United States,Canada,60200.0,November 2020
2012,09,United States,Ecuador,30100.0,December 2020
2013,04,United States,El Salvador,30100.0,January 2020
,,United States,Germany,60200.0,February 2020
2013,02,United States,Ireland,45150.0,April 2020
2013,02,United States,Israel,30100.0,January 2021
,,United States,Jamaica,30100.0,May 2021
2013,02,United States,Japan,45150.0,June 2021
2013,01,United States,"Korea, South",30100.0,July 2021
2013,01,United States,Mexico,30100.0,August 2021
2013,04,United States,Netherlands,105350.0,September 2021
,,United States,Singapore,45150.0,October 2021
,,United States,Taiwan,60200.0,November 2021
,,United States,United Kingdom,30100.0,December 2021
,,United States (CIF),Bahamas,10112.0,January 2021
2013,02,United States (CIF),Canada,5056.0,February 2021
2013,08,United States (CIF),Ecuador,5056.0,December 2019
,,United States (CIF),El Salvador,5056.0,December 2020
2013,01,United States (CIF),Germany,153360.0,December 2020
,,United States (CIF),Ireland,57654.0,December 2021
,,United States (CIF),Israel,18315.36,December 2022
,,United States (CIF),Jamaica,57490.56,December 2023
,,United States (CIF),Japan,78072.0,December 2020
,,United States (CIF),"Korea, South",56722.47,December 2021
,,United States (CIF),Mexico,14372.64,December 2022
,,United States (CIF),Netherlands,78072.0,December 2023
,,United States (CIF),Singapore,18315.36,January 2020
,,United States (CIF),Taiwan,147168.0,January 2021
2012,12,United States (CIF),United Kingdom,28745.28,January 2022
2013,01,United States (Consumption/Domestic),Bahamas,315552.24,January 2023
2014,07,United States (Consumption/Domestic),Canada,18315.36,May 2020
,,United States (Consumption/Domestic),Ecuador,11820.0,June 2020
2013,03,United States (Consumption/Domestic),El Salvador,147168.0,July 2020
2014,03,United States (Consumption/Domestic),Germany,208192.0,August 2020
2013,06,United States (Consumption/Domestic),Ireland,14372.64,September 2020
,,United States (Consumption/Domestic),Israel,14372.64,October 2020
2013,03,United States (Consumption/Domestic),Jamaica,18315.36,November 2020
2013,08,United States (Consumption/Domestic),Japan,86235.84,December 2020
,,United States (Consumption/Domestic),"Korea, South",14372.64,January 2020
,,United States (Consumption/Domestic),Mexico,18315.36,February 2020
,,United States (Consumption/Domestic),Netherlands,160704.0,April 2020
,,United States (Consumption/Domestic),Singapore,52048.0,January 2021
2013,04,United States (Consumption/Domestic),Taiwan,18315.36,May 2021
2013,07,United States (Consumption/Domestic),United Kingdom,378360.0,June 2021
2013,07,United States (HS 8),Bahamas,371051.52,July 2021
2013,07,United States (HS 8),Canada,150249.6,August 2021
2013,10,United States (HS 8),Ecuador,37729.44,September 2021
2013,05,United States (HS 8),El Salvador,37729.44,October 2021
2013,10,United States (HS 8),Germany,188150.4,November 2021
,,United States (HS 8),Ireland,74023.2,December 2021
,,United States (HS 8),Israel,18864.72,January 2021
,,United States (HS 8),Jamaica,53899.2,February 2021
,,United States (HS 8),Japan,14372.64,December 2019
2013,05,United States (HS 8),"Korea, South",78072.0,December 2020
,,United States (HS 8),Mexico,389760.0,December 2020
2014,04,United States (HS 8),Netherlands,50654.0,December 2021
2013,10,United States (HS 8),Singapore,144288.0,December 2022
2014,09,United States (HS 8),Taiwan,123876.0,December 2023
,,United States (HS 8),United Kingdom,128000.0,December 2020
,,Uruguay,Punta Pereira (Uruguay),84939.84,December 2021
2021,08,Uruguay,Rio Negro (Uruguay),14156.64,December 2022
2013,07,Vietnam (BOL),Cambodia,36126.72,December 2023
,,Vietnam (BOL),India,25804.8,January 2020
2013,08,Vietnam (BOL),Cambodia,288576.0,January 2021
,,Uruguay,Rio Negro (Uruguay),14156.64,January 2022
2013,10,Uruguay,Punta Pereira (Uruguay),102400.0,January 2023
,,Vietnam (BOL),Laos,22320.0,May 2020
,,United States (HS 8),Taiwan,310620.0,June 2020
2013,10,United States (HS 8),United Kingdom,156240.0,July 2020
,,United States (HS 8),Singapore,511872.0,August 2020
,,United States (HS 8),New Zealand,284580.0,September 2020
,,United States (HS 8),Netherlands,223200.0,October 2020
2013,12,United States (HS 8),Mexico,535680.0,November 2020
2013,08,United States (HS 8),Malaysia,245520.0,December 2020
2019,06,United States (HS 8),"Korea, South",111600.0,January 2020
,,United States (HS 8),Japan,312480.0,February 2020
,,United States (HS 8),Jamaica,245520.0,April 2020
,,United States (HS 8),Israel,223200.0,January 2021
,,United States (HS 8),Germany,381672.0,May 2021
,,United States (HS 8),Canada,76800.0,June 2021
,,United States (HS 8),China,535680.0,July 2021
9999,01,United States (HS 8),Denmark,285120.0,August 2021
2013,10,United States (HS 8),Ecuador,51609.6,September 2021
,,United States (HS 8),Bahamas,74400.0,October 2021
,,United States (Consumption/Domestic),United Kingdom,70783.2,November 2021
,,United States (HS 8),Australia,14156.64,December 2021
,,United States (Consumption/Domestic),Taiwan,386880.0,January 2021
,,United States (Consumption/Domestic),Singapore,312480.0,February 2021
2014,10,United States (Consumption/Domestic),New Zealand,163680.0,December 2019
,,United States (Consumption/Domestic),Netherlands,535680.0,December 2020
2013,10,United States (Consumption/Domestic),Mexico,137640.0,December 2020
2013,10,United States (Consumption/Domestic),"Korea, South",315828.0,December 2021
2013,10,United States (Consumption/Domestic),Malaysia,281600.0,December 2022
,,United States (Consumption/Domestic),Japan,985600.0,December 2023
2013,08,United States (Consumption/Domestic),Jamaica,1126400.0,December 2020
2013,10,United States (Consumption/Domestic),Israel,44640.0,December 2021
2013,10,United States (Consumption/Domestic),Germany,1126400.0,December 2022
2013,12,United States (Consumption/Domestic),Ecuador,985600.0,December 2023
2013,12,United States (Consumption/Domestic),Denmark,94880.0,January 2020
2013,12,United States (Consumption/Domestic),Canada,140800.0,January 2021
9999,01,United States (Consumption/Domestic),Bahamas,140800.0,January 2022
9999,01,United States (CIF),United Kingdom,140800.0,January 2023
9999,01,United States (Consumption/Domestic),Australia,30640.0,May 2020
9999,01,United States (CIF),Singapore,7392.0,June 2020
9999,01,United States (CIF),Taiwan,563200.0,July 2020
9999,01,United States (CIF),New Zealand,422400.0,August 2020
9999,01,United States (CIF),Mexico,281600.0,September 2020
9999,01,United States (CIF),Netherlands,281600.0,October 2020
9999,01,United States (CIF),Malaysia,42240.0,November 2020
2013,12,United States (CIF),"Korea, South",140800.0,December 2020
2013,12,United States (CIF),Japan,140800.0,January 2020
2013,12,United States (CIF),Jamaica,96000.0,February 2020
2014,06,United States (CIF),Israel,48000.0,April 2020
2014,05,United States (CIF),Germany,48000.0,January 2021
2014,05,United States (CIF),Ecuador,151200.0,May 2021
2014,10,United States (CIF),Denmark,21600.0,June 2021
,,United States (CIF),China,240000.0,July 2021
,,United States (CIF),Canada,12270.0,August 2021
2014,01,United States (CIF),Bahamas,24156.0,September 2021
2014,09,United States,United Kingdom,40900.0,October 2021
,,United States (CIF),Australia,61350.0,November 2021
,,United States,Taiwan,10616.0,December 2021
,,United States,Singapore,16104.0,January 2021
,,United States,Netherlands,10616.0,February 2021
2016,05,United States,New Zealand,23.28,December 2019
,,United States,Mexico,316500.0,December 2020
2014,10,United States,Malaysia,168800.0,December 2020
2014,04,United States,"Korea, South",253200.0,December 2021
,,United States,Japan,84400.0,December 2022
2014,02,United States,Jamaica,63300.0,December 2023
2014,01,United States,Israel,126600.0,December 2020
2010,01,United States,Germany,464200.0,December 2021
,,United States,Ecuador,422000.0,December 2022
,,United States,Canada,211000.0,December 2023
2004,08,United States,China,211000.0,January 2020
,,United States,Denmark,358700.0,January 2021
2014,05,United States,Bahamas,211000.0,January 2022
,,United States,Australia,217300.0,January 2023
2014,03,United Kingdom HMRC,Spain,608440.0,May 2020
9999,01,United Kingdom HMRC,Netherlands,642490.91,June 2020
2014,03,United Kingdom HMRC,Poland,13038.0,July 2020
2014,03,United Kingdom HMRC,Israel,478060.0,August 2020
2014,04,United Kingdom HMRC,Ireland,21730.0,September 2020
2016,09,United Kingdom HMRC,Germany,478060.0,October 2020
2014,04,United Kingdom HMRC,France,9200.0,November 2020
2014,06,Turkey,Germany,9800.0,December 2020
2014,06,Turkey,Turk. Rep. of N. Cyprus,47400.0,January 2020
,,Ukraine,Georgia,28440.0,February 2020
,,Thailand,Vietnam,28440.0,April 2020
2014,04,Thailand,Philippines,528000.0,January 2021
9999,01,Thailand,Singapore,79810.0,May 2021
2012,12,Thailand,Laos,275553.0,June 2021
,,Thailand,Japan,70000.0,July 2021
,,Thailand,"Korea, South",140000.0,August 2021
2014,08,Thailand,Hong Kong,5955.0,September 2021
,,Thailand,Indonesia,11772.0,October 2021
,,Thailand,Cambodia,70632.0,November 2021
2020,09,Thailand,Australia,98000.0,December 2021
,,Thailand,Bangladesh,182000.0,January 2021
2014,10,Thailand,Brazil,218400.0,February 2021
,,Thailand,Argentina,89600.0,December 2019
2014,09,Taiwan,Vietnam,182000.0,December 2020
2014,07,Taiwan,United States,540300.0,December 2020
,,Taiwan,Thailand,182000.0,December 2021
,,Taiwan,Singapore,47572.8,December 2022
,,Taiwan,Philippines,20400.0,December 2023
2014,08,Taiwan,Netherlands,58401.0,December 2020
,,Taiwan,Malaysia,35000.0,December 2021
2014,07,Taiwan,Japan,182000.0,December 2022
2014,07,Taiwan,Israel,141450.0,December 2023
,,Taiwan,Ireland,18032.0,January 2020
,,Taiwan,China,141450.0,January 2021
2017,07,Switzerland,Pakistan,30060.0,January 2022
2014,10,Switzerland,Germany,40477.5,January 2023
2015,02,Switzerland,United Kingdom,194400.0,May 2020
2015,02,Switzerland,France,200000.0,June 2020
,,Sweden,Finland,69720.0,July 2020
,,Sweden,Norway,18032.0,August 2020
2015,07,Sweden,United Kingdom,50688.0,September 2020
,,Sweden,United States,43007.0,October 2020
2014,10,Switzerland,Austria,73150.0,November 2020
2014,11,Spain (Customs),Taiwan,64800.0,December 2020
2016,03,Spain (Customs),Vietnam,203632.0,January 2020
,,Sweden,Denmark,46992.0,February 2020
,,Spain (Customs),Switzerland,93984.0,April 2020
,,Spain (Customs),Sweden,15750.0,January 2021
