Year,Quarter,OriginCountry,DestinationCountry,Exports_During_The_Quarter
2021,1Q2021,Cote d'Ivoire (General),Cameroon,
2021,1Q2021,Cote d'Ivoire (General),Mali,
2021,1Q2021,Croatia,Albania,
2021,1Q2021,Croatia,Bosnia & Herzegovina,
2021,1Q2021,Croatia,Germany,
2021,1Q2021,Croatia,Hungary,
2021,1Q2021,Croatia,Kosovo,
2021,1Q2021,Croatia,Montenegro,
2021,1Q2021,Croatia,Serbia,
2021,1Q2021,Croatia,Slovenia,
2021,1Q2021,Czech Republic,Austria,
2021,1Q2021,Czech Republic,Belgium,
2021,1Q2021,Czech Republic,El Salvador,
2021,1Q2021,Czech Republic,Estonia,
2021,1Q2021,Czech Republic,Finland,
2021,1Q2021,Czech Republic,France,
2021,1Q2021,Czech Republic,Germany,
2021,1Q2021,Czech Republic,Greece,
2021,1Q2021,Czech Republic,Hungary,
2021,1Q2021,Czech Republic,Iceland,
2021,1Q2021,Czech Republic,Ireland,
2021,1Q2021,Czech Republic,Netherlands,
2021,1Q2021,Czech Republic,Poland,
2021,1Q2021,Czech Republic,Portugal,
2021,1Q2021,Czech Republic,Romania,
2021,1Q2021,Czech Republic,Russia,
2021,1Q2021,Czech Republic,Serbia,
2021,1Q2021,Czech Republic,Slovakia,
2021,1Q2021,Czech Republic,Slovenia,
2021,1Q2021,Czech Republic,Spain,
2021,1Q2021,Czech Republic,Switzerland,
2021,1Q2021,Czech Republic,Turkey,
2021,1Q2021,Czech Republic,United Kingdom,
2021,1Q2021,Czech Republic,Uzbekistan,
2021,1Q2021,Denmark,Austria,
2021,1Q2021,Denmark,Belgium,
2021,1Q2021,Denmark,China,
2021,1Q2021,Denmark,Croatia,
2021,1Q2021,Denmark,Faroe Islands,
2021,1Q2021,Denmark,Finland,
2021,1Q2021,Denmark,France,
2021,1Q2021,Denmark,Germany,
2021,1Q2021,Denmark,Hong Kong,
2021,1Q2021,Denmark,Hungary,
2021,1Q2021,Denmark,Ireland,
2021,1Q2021,Denmark,Italy,
2021,1Q2021,Denmark,"Korea, South",
2021,1Q2021,Denmark,Luxembourg,
2021,1Q2021,Denmark,Netherlands,
2021,1Q2021,Denmark,Norway,
2021,1Q2021,Denmark,Poland,
2021,1Q2021,Denmark,Slovakia,
2021,1Q2021,Denmark,Slovenia,
2021,1Q2021,Denmark,Spain,
2021,1Q2021,Denmark,Sri Lanka,
2021,1Q2021,Denmark,Sweden,
2021,1Q2021,Denmark,Taiwan,
2021,1Q2021,Denmark,United Kingdom,
2021,1Q2021,Denmark,Vietnam,
2021,1Q2021,Egypt (UN),Libya,
2021,1Q2021,Egypt (UN),Sudan,
2021,1Q2021,El Salvador,Costa Rica,
2021,1Q2021,El Salvador,Guatemala,
2021,1Q2021,El Salvador,Honduras,
2021,1Q2021,El Salvador,Nicaragua,
2021,1Q2021,Estonia,Finland,
2021,1Q2021,EU (External Trade),Albania,
2021,1Q2021,EU (External Trade),Algeria,
2021,1Q2021,EU (External Trade),Andorra,
2021,1Q2021,EU (External Trade),Angola,
2021,1Q2021,EU (External Trade),Argentina,
2021,1Q2021,EU (External Trade),Armenia,
2021,1Q2021,EU (External Trade),Australia,
2021,1Q2021,EU (External Trade),Azerbaijan,
2021,1Q2021,EU (External Trade),Bahrain,
2021,1Q2021,EU (External Trade),Bangladesh,
2021,1Q2021,EU (External Trade),Barbados,
2021,1Q2021,EU (External Trade),Belarus,
2021,1Q2021,EU (External Trade),Bosnia & Herzegovina,
2021,1Q2021,EU (External Trade),Brazil,
2021,1Q2021,EU (External Trade),Burkina Faso,
2021,1Q2021,EU (External Trade),Burundi,
2021,1Q2021,EU (External Trade),Cameroon,
2021,1Q2021,EU (External Trade),Chad,
2021,1Q2021,EU (External Trade),Chile,
2021,1Q2021,EU (External Trade),China,
2021,1Q2021,EU (External Trade),Colombia,
2021,1Q2021,EU (External Trade),Congo,
2021,1Q2021,EU (External Trade),"Congo, Dem. Rep.",
2021,1Q2021,EU (External Trade),Costa Rica,
2021,1Q2021,EU (External Trade),Cote d Ivoire,
2021,1Q2021,EU (External Trade),Cuba,
2021,1Q2021,EU (External Trade),Dominican Republic,
2021,1Q2021,EU (External Trade),Ecuador,
2021,1Q2021,EU (External Trade),Egypt,
2021,1Q2021,EU (External Trade),El Salvador,
2021,1Q2021,EU (External Trade),Equatorial Guinea,
2021,1Q2021,EU (External Trade),Ethiopia,
2021,1Q2021,EU (External Trade),Faroe Islands,
2021,1Q2021,EU (External Trade),French Polynesia,
2021,1Q2021,EU (External Trade),Gabon,
2021,1Q2021,EU (External Trade),Gambia,
2021,1Q2021,EU (External Trade),Georgia,
2021,1Q2021,EU (External Trade),Ghana,
2021,1Q2021,EU (External Trade),Guatemala,
2021,1Q2021,EU (External Trade),Guinea,
2021,1Q2021,EU (External Trade),Guyana,
2021,1Q2021,EU (External Trade),Haiti,
2021,1Q2021,EU (External Trade),Honduras,
2021,1Q2021,EU (External Trade),Hong Kong,
2021,1Q2021,EU (External Trade),Iceland,
2021,1Q2021,EU (External Trade),India,
2021,1Q2021,EU (External Trade),Indonesia,
2021,1Q2021,EU (External Trade),Iran,
2021,1Q2021,EU (External Trade),Israel,
2021,1Q2021,EU (External Trade),Japan,
2021,1Q2021,EU (External Trade),Jordan,
2021,1Q2021,EU (External Trade),Kazakhstan,
2021,1Q2021,EU (External Trade),Kenya,
2021,1Q2021,EU (External Trade),"Korea, South",
2021,1Q2021,EU (External Trade),Kosovo,
2021,1Q2021,EU (External Trade),Kuwait,
2021,1Q2021,EU (External Trade),Liberia,
2021,1Q2021,EU (External Trade),Libya,
2021,1Q2021,EU (External Trade),Macedonia,
2021,1Q2021,EU (External Trade),Madagascar,
2021,1Q2021,EU (External Trade),Malaysia,
2021,1Q2021,EU (External Trade),Mali,
2021,1Q2021,EU (External Trade),Mauritania,
2021,1Q2021,EU (External Trade),Melilla,
2021,1Q2021,EU (External Trade),Mexico,
2021,1Q2021,EU (External Trade),Moldova,
2021,1Q2021,EU (External Trade),Montenegro,
2021,1Q2021,EU (External Trade),Morocco,
2021,1Q2021,EU (External Trade),New Caledonia,
2021,1Q2021,EU (External Trade),New Zealand,
2021,1Q2021,EU (External Trade),Niger,
2021,1Q2021,EU (External Trade),Non-EU Suppression,
2021,1Q2021,EU (External Trade),Norway,
2021,1Q2021,EU (External Trade),Not Determin Extra EU Trade,
2021,1Q2021,EU (External Trade),Oman,
2021,1Q2021,EU (External Trade),Pakistan,
2021,1Q2021,EU (External Trade),Panama,
2021,1Q2021,EU (External Trade),Paraguay,
2021,1Q2021,EU (External Trade),Peru,
2021,1Q2021,EU (External Trade),Philippines,
2021,1Q2021,EU (External Trade),Qatar,
2021,1Q2021,EU (External Trade),Russia,
2021,1Q2021,EU (External Trade),Rwanda,
2021,1Q2021,EU (External Trade),Saudi Arabia,
2021,1Q2021,EU (External Trade),Senegal,
2021,1Q2021,EU (External Trade),Serbia,
2021,1Q2021,EU (External Trade),Singapore,
2021,1Q2021,EU (External Trade),Sint Maarten,
2021,1Q2021,EU (External Trade),South Africa,
2021,1Q2021,EU (External Trade),Sri Lanka,
2021,1Q2021,EU (External Trade),Suriname,
2021,1Q2021,EU (External Trade),Switzerland,
2021,1Q2021,EU (External Trade),Taiwan,
2021,1Q2021,EU (External Trade),Thailand,
2021,1Q2021,EU (External Trade),Togo,
2021,1Q2021,EU (External Trade),Trinidad & Tobago,
2021,1Q2021,EU (External Trade),Tunisia,
2021,1Q2021,EU (External Trade),Turkey,
2021,1Q2021,EU (External Trade),Uganda,
2021,1Q2021,EU (External Trade),Ukraine,
2021,1Q2021,EU (External Trade),United Arab Emirates,
2021,1Q2021,EU (External Trade),United Kingdom,
2021,1Q2021,EU (External Trade),United States,
2021,1Q2021,EU (External Trade),Uruguay,
2021,1Q2021,EU (External Trade),Uzbekistan,
2021,1Q2021,EU (External Trade),Vietnam,
2021,1Q2021,France,Albania,
2021,1Q2021,France,Algeria,
2021,1Q2021,France,Argentina,
2021,1Q2021,France,Austria,
2021,1Q2021,France,Belgium,
2021,1Q2021,France,Cameroon,
2021,1Q2021,France,Chad,
2021,1Q2021,France,China,
2021,1Q2021,France,Congo,
2021,1Q2021,France,"Congo, Dem. Rep.",
2021,1Q2021,France,Cote d Ivoire,
2021,1Q2021,France,Czech Republic,
2021,1Q2021,France,Denmark,
2021,1Q2021,France,Equatorial Guinea,
2021,1Q2021,France,Ethiopia,
2021,1Q2021,France,Finland,
2021,1Q2021,France,French Polynesia,
2021,1Q2021,France,Gabon,
2021,1Q2021,France,Germany,
2021,1Q2021,France,Greece,
2021,1Q2021,France,Hungary,
2021,1Q2021,France,India,
2021,1Q2021,France,Ireland,
2021,1Q2021,France,Israel,
2021,1Q2021,France,Italy,
2021,1Q2021,France,Latvia,
2021,1Q2021,France,Lithuania,
2021,1Q2021,France,Luxembourg,
2021,1Q2021,France,Madagascar,
2021,1Q2021,France,Mali,
2021,1Q2021,France,Mauritania,
2021,1Q2021,France,Morocco,
2021,1Q2021,France,Netherlands,
2021,1Q2021,France,New Caledonia,
2021,1Q2021,France,Niger,
2021,1Q2021,France,Poland,
2021,1Q2021,France,Portugal,
2021,1Q2021,France,Qatar,
2021,1Q2021,France,Romania,
2021,1Q2021,France,Senegal,
2021,1Q2021,France,Singapore,
2021,1Q2021,France,Slovenia,
2021,1Q2021,France,Spain,
2021,1Q2021,France,Sweden,
2021,1Q2021,France,Switzerland,
2021,1Q2021,France,Thailand,
2021,1Q2021,France,Tunisia,
2021,1Q2021,France,Turkey,
2021,1Q2021,France,United Kingdom,
2021,1Q2021,France,United States,
2021,1Q2021,France,Uruguay,
2021,1Q2021,France,Vietnam,
2021,1Q2021,France (Customs),Albania,
2021,1Q2021,France (Customs),Algeria,
2021,1Q2021,France (Customs),Argentina,
2021,1Q2021,France (Customs),Austria,
2021,1Q2021,France (Customs),Belgium,
2021,1Q2021,France (Customs),Cameroon,
2021,1Q2021,France (Customs),Chad,
2021,1Q2021,France (Customs),China,
2021,1Q2021,France (Customs),Congo,
2021,1Q2021,France (Customs),"Congo, Dem. Rep.",
2021,1Q2021,France (Customs),Cote d Ivoire,
2021,1Q2021,France (Customs),Czech Republic,
2021,1Q2021,France (Customs),Denmark,
2021,1Q2021,France (Customs),Equatorial Guinea,
2021,1Q2021,France (Customs),Ethiopia,
2021,1Q2021,France (Customs),Finland,
2021,1Q2021,France (Customs),French Polynesia,
2021,1Q2021,France (Customs),Gabon,
2021,1Q2021,France (Customs),Germany,
2021,1Q2021,France (Customs),Greece,
2021,1Q2021,France (Customs),Hungary,
2021,1Q2021,France (Customs),India,
2021,1Q2021,France (Customs),Ireland,
2021,1Q2021,France (Customs),Israel,
2021,1Q2021,France (Customs),Italy,
2021,1Q2021,France (Customs),Latvia,
2021,1Q2021,France (Customs),Lithuania,
2021,1Q2021,France (Customs),Luxembourg,
2021,1Q2021,France (Customs),Madagascar,
2021,1Q2021,France (Customs),Mali,
2021,1Q2021,France (Customs),Mauritania,
2021,1Q2021,France (Customs),Morocco,
2021,1Q2021,France (Customs),Netherlands,
2021,1Q2021,France (Customs),New Caledonia,
2021,1Q2021,France (Customs),Niger,
2021,1Q2021,France (Customs),Poland,
2021,1Q2021,France (Customs),Portugal,
2021,1Q2021,France (Customs),Qatar,
2021,1Q2021,France (Customs),Romania,
2021,1Q2021,France (Customs),Senegal,
2021,1Q2021,France (Customs),Singapore,
2021,1Q2021,France (Customs),Slovenia,
2021,1Q2021,France (Customs),Spain,
2021,1Q2021,France (Customs),Sweden,
2021,1Q2021,France (Customs),Switzerland,
2021,1Q2021,France (Customs),Thailand,
2021,1Q2021,France (Customs),Tunisia,
2021,1Q2021,France (Customs),Turkey,
2021,1Q2021,France (Customs),United Kingdom,
2021,1Q2021,France (Customs),United States,
2021,1Q2021,France (Customs),Uruguay,
2021,1Q2021,France (Customs),Vietnam,
2021,1Q2021,Germany,Algeria,
2021,1Q2021,Germany,Argentina,
2021,1Q2021,Germany,Armenia,
2021,1Q2021,Germany,Australia,
2021,1Q2021,Germany,Austria,
2021,1Q2021,Germany,Azerbaijan,
2021,1Q2021,Germany,Bahrain,
2021,1Q2021,Germany,Bangladesh,
2021,1Q2021,Germany,Belarus,
2021,1Q2021,Germany,Belgium,
2021,1Q2021,Germany,Brazil,
2021,1Q2021,Germany,Bulgaria,
2021,1Q2021,Germany,Chile,
2021,1Q2021,Germany,China,
2021,1Q2021,Germany,Colombia,
2021,1Q2021,Germany,Croatia,
2021,1Q2021,Germany,Cuba,
2021,1Q2021,Germany,Cyprus,
2021,1Q2021,Germany,Czech Republic,
2021,1Q2021,Germany,Denmark,
2021,1Q2021,Germany,Ecuador,
2021,1Q2021,Germany,Egypt,
2021,1Q2021,Germany,Estonia,
2021,1Q2021,Germany,Finland,
2021,1Q2021,Germany,France,
2021,1Q2021,Germany,Gabon,
2021,1Q2021,Germany,Georgia,
2021,1Q2021,Germany,Greece,
2021,1Q2021,Germany,Guatemala,
2021,1Q2021,Germany,Guinea,
2021,1Q2021,Germany,Hong Kong,
2021,1Q2021,Germany,Hungary,
2021,1Q2021,Germany,India,
2021,1Q2021,Germany,Indonesia,
2021,1Q2021,Germany,Ireland,
2021,1Q2021,Germany,Israel,
2021,1Q2021,Germany,Italy,
2021,1Q2021,Germany,Japan,
2021,1Q2021,Germany,Kazakhstan,
2021,1Q2021,Germany,"Korea, South",
2021,1Q2021,Germany,Kuwait,
2021,1Q2021,Germany,Latvia,
2021,1Q2021,Germany,Libya,
2021,1Q2021,Germany,Lithuania,
2021,1Q2021,Germany,Luxembourg,
2021,1Q2021,Germany,Macedonia,
2021,1Q2021,Germany,Malaysia,
2021,1Q2021,Germany,Mali,
2021,1Q2021,Germany,Malta,
2021,1Q2021,Germany,Mexico,
2021,1Q2021,Germany,Moldova,
2021,1Q2021,Germany,Morocco,
2021,1Q2021,Germany,Netherlands,
2021,1Q2021,Germany,New Zealand,
2021,1Q2021,Germany,Norway,
2021,1Q2021,Germany,Oman,
2021,1Q2021,Germany,Pakistan,
2021,1Q2021,Germany,Peru,
2021,1Q2021,Germany,Philippines,
2021,1Q2021,Germany,Poland,
2021,1Q2021,Germany,Portugal,
2021,1Q2021,Germany,Qatar,
2021,1Q2021,Germany,Romania,
2021,1Q2021,Germany,Russia,
2021,1Q2021,Germany,Saudi Arabia,
2021,1Q2021,Germany,Serbia,
2021,1Q2021,Germany,Singapore,
2021,1Q2021,Germany,Slovakia,
2021,1Q2021,Germany,Slovenia,
2021,1Q2021,Germany,South Africa,
2021,1Q2021,Germany,Spain,
2021,1Q2021,Germany,Sweden,
2021,1Q2021,Germany,Switzerland,
2021,1Q2021,Germany,Taiwan,
2021,1Q2021,Germany,Thailand,
2021,1Q2021,Germany,Tunisia,
2021,1Q2021,Germany,Turkey,
2021,1Q2021,Germany,Ukraine,
2021,1Q2021,Germany,United Arab Emirates,
2021,1Q2021,Germany,United Kingdom,
2021,1Q2021,Germany,United States,
2021,1Q2021,Germany,Uruguay,
2021,1Q2021,Germany,Vietnam,
2021,1Q2021,Germany (Customs),Algeria,
2021,1Q2021,Germany (Customs),Argentina,
2021,1Q2021,Germany (Customs),Armenia,
2021,1Q2021,Germany (Customs),Australia,
2021,1Q2021,Germany (Customs),Austria,
2021,1Q2021,Germany (Customs),Azerbaijan,
2021,1Q2021,Germany (Customs),Bahrain,
2021,1Q2021,Germany (Customs),Belarus,
2021,1Q2021,Germany (Customs),Belgium,
2021,1Q2021,Germany (Customs),Brazil,
2021,1Q2021,Germany (Customs),Bulgaria,
2021,1Q2021,Germany (Customs),Chile,
2021,1Q2021,Germany (Customs),China,
2021,1Q2021,Germany (Customs),Colombia,
2021,1Q2021,Germany (Customs),Croatia,
2021,1Q2021,Germany (Customs),Cuba,
2021,1Q2021,Germany (Customs),Cyprus,
2021,1Q2021,Germany (Customs),Czech Republic,
2021,1Q2021,Germany (Customs),Denmark,
2021,1Q2021,Germany (Customs),Ecuador,
2021,1Q2021,Germany (Customs),Egypt,
2021,1Q2021,Germany (Customs),Estonia,
2021,1Q2021,Germany (Customs),Finland,
2021,1Q2021,Germany (Customs),France,
2021,1Q2021,Germany (Customs),Gabon,
2021,1Q2021,Germany (Customs),Georgia,
2021,1Q2021,Germany (Customs),Greece,
2021,1Q2021,Germany (Customs),Guatemala,
2021,1Q2021,Germany (Customs),Guinea,
2021,1Q2021,Germany (Customs),Hong Kong,
2021,1Q2021,Germany (Customs),Hungary,
2021,1Q2021,Germany (Customs),India,
2021,1Q2021,Germany (Customs),Indonesia,
2021,1Q2021,Germany (Customs),Ireland,
2021,1Q2021,Germany (Customs),Israel,
2021,1Q2021,Germany (Customs),Italy,
2021,1Q2021,Germany (Customs),Japan,
2021,1Q2021,Germany (Customs),Kazakhstan,
2021,1Q2021,Germany (Customs),"Korea, South",
2021,1Q2021,Germany (Customs),Kuwait,
2021,1Q2021,Germany (Customs),Latvia,
2021,1Q2021,Germany (Customs),Libya,
2021,1Q2021,Germany (Customs),Lithuania,
2021,1Q2021,Germany (Customs),Luxembourg,
2021,1Q2021,Germany (Customs),Macedonia,
2021,1Q2021,Germany (Customs),Malaysia,
2021,1Q2021,Germany (Customs),Mali,
2021,1Q2021,Germany (Customs),Malta,
2021,1Q2021,Germany (Customs),Mexico,
2021,1Q2021,Germany (Customs),Moldova,
2021,1Q2021,Germany (Customs),Morocco,
2021,1Q2021,Germany (Customs),Netherlands,
2021,1Q2021,Germany (Customs),New Zealand,
2021,1Q2021,Germany (Customs),Norway,
2021,1Q2021,Germany (Customs),Peru,
2021,1Q2021,Germany (Customs),Philippines,
2021,1Q2021,Germany (Customs),Poland,
2021,1Q2021,Germany (Customs),Portugal,
2021,1Q2021,Germany (Customs),Qatar,
2021,1Q2021,Germany (Customs),Romania,
2021,1Q2021,Germany (Customs),Russia,
2021,1Q2021,Germany (Customs),Saudi Arabia,
2021,1Q2021,Germany (Customs),Serbia,
2021,1Q2021,Germany (Customs),Singapore,
2021,1Q2021,Germany (Customs),Slovakia,
2021,1Q2021,Germany (Customs),Slovenia,
2021,1Q2021,Germany (Customs),South Africa,
2021,1Q2021,Germany (Customs),Spain,
2021,1Q2021,Germany (Customs),Sweden,
2021,1Q2021,Germany (Customs),Switzerland,
2021,1Q2021,Germany (Customs),Taiwan,
2021,1Q2021,Germany (Customs),Thailand,
2021,1Q2021,Germany (Customs),Tunisia,
2021,1Q2021,Germany (Customs),Turkey,
2021,1Q2021,Germany (Customs),Ukraine,
2021,1Q2021,Germany (Customs),United Arab Emirates,
2021,1Q2021,Germany (Customs),United Kingdom,
2021,1Q2021,Germany (Customs),United States,
2021,1Q2021,Germany (Customs),Uruguay,
2021,1Q2021,Germany (Customs),Vietnam,
2021,1Q2021,Greece,Albania,
2021,1Q2021,Greece,Bulgaria,
2021,1Q2021,Greece,Cyprus,
2021,1Q2021,Greece,Egypt,
2021,1Q2021,Greece,Germany,
2021,1Q2021,Greece,Macedonia,
2021,1Q2021,Guatemala,El Salvador,
2021,1Q2021,Guatemala,Panama,
2021,1Q2021,Hungary,Austria,
2021,1Q2021,Hungary,Bulgaria,
2021,1Q2021,Hungary,Croatia,
2021,1Q2021,Hungary,Czech Republic,
2021,1Q2021,Hungary,Greece,
2021,1Q2021,Hungary,Moldova,
2021,1Q2021,Hungary,Poland,
2021,1Q2021,Hungary,Romania,
2021,1Q2021,Hungary,Serbia,
2021,1Q2021,Hungary,Slovakia,
2021,1Q2021,Hungary,Slovenia,
2021,1Q2021,Hungary,Switzerland,
2021,1Q2021,India,Bangladesh,
2021,1Q2021,India,Bhutan,
2021,1Q2021,India,Brazil,
2021,1Q2021,India,Cameroon,
2021,1Q2021,India,"Congo, Dem. Rep.",
2021,1Q2021,India,Ethiopia,
2021,1Q2021,India,Ghana,
2021,1Q2021,India,Indonesia,
2021,1Q2021,India,Israel,
2021,1Q2021,India,Kuwait,
2021,1Q2021,India,Malaysia,
2021,1Q2021,India,Mali,
2021,1Q2021,India,Morocco,
2021,1Q2021,India,Myanmar,
2021,1Q2021,India,Nepal,
2021,1Q2021,India,Nicaragua,
2021,1Q2021,India,Oman,
2021,1Q2021,India,Qatar,
2021,1Q2021,India,Samoa (Western),
2021,1Q2021,India,Saudi Arabia,
2021,1Q2021,India,Senegal,
2021,1Q2021,India,Somalia,
2021,1Q2021,India,South Africa,
2021,1Q2021,India,Sri Lanka,
2021,1Q2021,India,Switzerland,
2021,1Q2021,India,Tanzania,
2021,1Q2021,India,Togo,
2021,1Q2021,India,Turkey,
2021,1Q2021,India,Uganda,
2021,1Q2021,India,United Arab Emirates,
2021,1Q2021,India,United States,
2021,1Q2021,India,Zambia,
2021,1Q2021,Iran,Azerbaijan,
2021,1Q2021,Iran,Georgia,
2021,1Q2021,Ireland,United Kingdom,
2021,1Q2021,Ireland,United States,
2021,1Q2021,Ireland (Customs),Great Britain,
2021,1Q2021,Ireland (Customs),Northern Ireland,
2021,1Q2021,Ireland (Customs),Taiwan,
2021,1Q2021,Ireland (Customs),United States,
2021,1Q2021,Israel,Taiwan,
2021,1Q2021,Israel,United States,
2021,1Q2021,Italy,Albania,
2021,1Q2021,Italy,Algeria,
2021,1Q2021,Italy,Australia,
2021,1Q2021,Italy,Austria,
2021,1Q2021,Italy,Bulgaria,
2021,1Q2021,Italy,China,
2021,1Q2021,Italy,Croatia,
2021,1Q2021,Italy,Cuba,
2021,1Q2021,Italy,Cyprus,
2021,1Q2021,Italy,Czech Republic,
2021,1Q2021,Italy,Ethiopia,
2021,1Q2021,Italy,France,
2021,1Q2021,Italy,Germany,
2021,1Q2021,Italy,Greece,
2021,1Q2021,Italy,Hungary,
2021,1Q2021,Italy,Ireland,
2021,1Q2021,Italy,Macedonia,
2021,1Q2021,Italy,Malta,
2021,1Q2021,Italy,Netherlands,
2021,1Q2021,Italy,Pakistan,
2021,1Q2021,Italy,Poland,
