Production date,Origin and Destination country,Project Name,Amount
,Czech Republic:Slovenia,<Actual> February (QTD) (FY2020),303
,Czech Republic:Spain,<Actual> March (QTD) (FY2020),404
2008年10月,Czech Republic:Sweden,<Actual> April (QTD) (FY2021),404
,Czech Republic:United Kingdom,<Actual> May (QTD) (FY2021),202
2011年04月,El Salvador:Guatemala,<Actual> June (QTD) (FY2021),404
2008年12月,El Salvador:Honduras,<Actual> July (QTD) (FY2021),202
,El Salvador:Nicaragua,<Actual> August (QTD) (FY2021),"69 775,44"
,Estonia:Finland,<Actual> September (QTD) (FY2021),"45,3"
2009年12月,France:Albania,<Actual> October (QTD) (FY2021),"10 300,00"
,France:Angola,<Actual> November (QTD) (FY2021),"117,6"
,France:Austria,<Actual> December (QTD) (FY2021),"101,3"
2009年01月,France:Belgium,<Actual> January (QTD) (FY2021),"10 300,00"
,France:Czech Republic,<Actual>February (QTD) (FY2021),"10 300,00"
,France:Denmark,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"405,2"
,France:Finland,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"405,2"
,France:Germany,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"101,3"
,France:Greece,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"69 216,00"
,France:Hungary,<Submitted Budget(Dec)> FY2022_Plan (Annual),"244 203,05"
,France:India,<Submitted Budget(Dec)> FY2023_Plan (Annual),"501,6"
2010年03月,France:Ireland,<Final Budget(Dec)> FY2020_Final Budget (Annual),"470,4"
,France:Israel,<Final Budget(Dec)> FY2021_Final Budget (Annual),"607,8"
2008年12月,France:Italy,<Final Budget(Dec)> FY2022_Plan (Annual),"107 407,46"
2008年12月,France:Luxembourg,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"12 160,00"
2008年11月,France:Mauritania,<Final Budget(Apr)> FY2020_Final Budget (Annual),"421 004,20"
2009年02月,France:Morocco,<Final Budget(Apr)> FY2021_Final Budget (Annual),"4 457,20"
,France:Netherlands,<Final Budget(Apr)> FY2022_Plan (Annual),"91,2"
,France:Poland,<Final Budget(Apr)> FY2023_Plan (Annual),"153,6"
2009年03月,France:Portugal,<Actual> May (QTD) (FY2020),"23 049,00"
,France:Romania,<Actual> June (QTD) (FY2020),"192 816,00"
2008年12月,France:Singapore,<Actual> July (QTD) (FY2020),"21,26"
,France:Slovenia,<Actual> August (QTD) (FY2020),"51,6"
2011年04月,France:Spain,<Actual> September (QTD) (FY2020),"13 406,40"
1984年01月,France:Sweden,<Actual> October (QTD) (FY2020),"235,2"
,France:Switzerland,<Actual> November (QTD) (FY2020),"94 550,40"
,France:Tunisia,<Actual> December (QTD) (FY2020),"15 052,80"
1965年01月,France:United Kingdom,<Actual> January (QTD) (FY2020),"2 116,80"
2007年07月,France (Customs):Albania,<Actual> February (QTD) (FY2020),"23 402,40"
2008年12月,France (Customs):Angola,<Actual> March (QTD) (FY2020),"29 517,60"
,France (Customs):Austria,<Actual> April (QTD) (FY2021),"43 512,00"
2017年10月,France (Customs):Belgium,<Actual> May (QTD) (FY2021),"49 862,40"
,France (Customs):Czech Republic,<Actual> June (QTD) (FY2021),"56 095,20"
2009年07月,France (Customs):Denmark,<Actual> July (QTD) (FY2021),"62 210,40"
,France (Customs):Finland,<Actual> August (QTD) (FY2021),"91 312,30"
,France (Customs):Germany,<Actual> September (QTD) (FY2021),"39 424,00"
2009年12月,France (Customs):Greece,<Actual> October (QTD) (FY2021),"276 480,00"
,France (Customs):Hungary,<Actual> November (QTD) (FY2021),"17 136,00"
,France (Customs):India,<Actual> December (QTD) (FY2021),"14 487,75"
2009年09月,France (Customs):Ireland,<Actual> January (QTD) (FY2021),"136 800,00"
2009年07月,France (Customs):Israel,<Actual>February (QTD) (FY2021),"66 013,20"
2009年12月,France (Customs):Italy,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"19 536,00"
2009年10月,France (Customs):Luxembourg,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"42 840,00"
2009年09月,France (Customs):Mauritania,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"7 770,00"
2009年11月,France (Customs):Morocco,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"41 082,00"
2013年12月,France (Customs):Netherlands,<Submitted Budget(Dec)> FY2022_Plan (Annual),0
2009年12月,France (Customs):Poland,<Submitted Budget(Dec)> FY2023_Plan (Annual),"57 535,80"
,France (Customs):Portugal,<Final Budget(Dec)> FY2020_Final Budget (Annual),"255 150,00"
2009年12月,France (Customs):Romania,<Final Budget(Dec)> FY2021_Final Budget (Annual),"76 700,00"
2009年12月,France (Customs):Singapore,<Final Budget(Dec)> FY2022_Plan (Annual),294
2010年02月,France (Customs):Slovenia,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"92 040,00"
2010年12月,France (Customs):Spain,<Final Budget(Apr)> FY2020_Final Budget (Annual),"46 020,00"
2009年12月,France (Customs):Sweden,<Final Budget(Apr)> FY2021_Final Budget (Annual),"94 720,00"
2010年07月,France (Customs):Switzerland,<Final Budget(Apr)> FY2022_Plan (Annual),"161 040,00"
,France (Customs):Tunisia,<Final Budget(Apr)> FY2023_Plan (Annual),"56 144,00"
,France (Customs):United Kingdom,<Actual> May (QTD) (FY2020),"708 390,00"
2011年03月,Germany (Customs):Australia,<Actual> June (QTD) (FY2020),"29 244,60"
,Germany (Customs):Austria,<Actual> July (QTD) (FY2020),"635,11"
,Germany (Customs):Azerbaijan,<Actual> August (QTD) (FY2020),"22,5"
2010年05月,Germany (Customs):Bahrain,<Actual> September (QTD) (FY2020),"512,5"
2010年03月,Germany (Customs):Belgium,<Actual> October (QTD) (FY2020),"29 244,60"
2010年03月,Germany (Customs):Brazil,<Actual> November (QTD) (FY2020),"0,15"
2010年03月,Germany (Customs):Bulgaria,<Actual> December (QTD) (FY2020),"5,2"
2008年08月,Germany (Customs):Chile,<Actual> January (QTD) (FY2020),"25,77"
2010年07月,Germany (Customs):Colombia,<Actual> February (QTD) (FY2020),"28 031,20"
2010年07月,Germany (Customs):Croatia,<Actual> March (QTD) (FY2020),"15 966,72"
2010年07月,Germany (Customs):Czech Republic,<Actual> April (QTD) (FY2021),"25 868,00"
2010年07月,Germany (Customs):Denmark,<Actual> May (QTD) (FY2021),"2 661,12"
2010年07月,Germany (Customs):Egypt,<Actual> June (QTD) (FY2021),"14 272,00"
2010年07月,Germany (Customs):Estonia,<Actual> July (QTD) (FY2021),"12 096,00"
2010年07月,Germany (Customs):Finland,<Actual> August (QTD) (FY2021),"15 200,00"
2010年10月,Germany (Customs):France,<Actual> September (QTD) (FY2021),"13 536,00"
,Germany (Customs):Gabon,<Actual> October (QTD) (FY2021),"13 050,00"
2009年07月,Germany (Customs):Georgia,<Actual> November (QTD) (FY2021),"114 034,50"
2010年05月,Germany (Customs):Ghana,<Actual> December (QTD) (FY2021),"114 034,50"
2011年04月,Germany (Customs):Greece,<Actual> January (QTD) (FY2021),"8 928,48"
2010年07月,Germany (Customs):Guatemala,<Actual>February (QTD) (FY2021),"3 240,00"
2010年07月,Germany (Customs):Hong Kong,<Submitted Budget(Dec)> FY2019_Prospect (Annual),137
2010年07月,Germany (Customs):Hungary,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"1 676,12"
2010年09月,Germany (Customs):India,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"11 570,00"
,Germany (Customs):Indonesia,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"5 982,24"
2010年08月,Germany (Customs):Iraq,<Submitted Budget(Dec)> FY2022_Plan (Annual),"3 460,80"
2010年11月,Germany (Customs):Ireland,<Submitted Budget(Dec)> FY2023_Plan (Annual),"195,8"
2010年12月,Germany (Customs):Israel,<Final Budget(Dec)> FY2020_Final Budget (Annual),"50,01"
,Germany (Customs):Italy,<Final Budget(Dec)> FY2021_Final Budget (Annual),"820,75"
2010年10月,Germany (Customs):Japan,<Final Budget(Dec)> FY2022_Plan (Annual),"88 872,96"
2010年12月,"Germany (Customs):Korea, South",<Final Budget(2020 Dec)> FY2023_Plan (Annual),"7 159,68"
,Germany (Customs):Kuwait,<Final Budget(Apr)> FY2020_Final Budget (Annual),"34 728,96"
,Germany (Customs):Latvia,<Final Budget(Apr)> FY2021_Final Budget (Annual),"286 142,00"
2005年01月,Germany (Customs):Lithuania,<Final Budget(Apr)> FY2022_Plan (Annual),"151 200,00"
2005年01月,Germany (Customs):Luxembourg,<Final Budget(Apr)> FY2023_Plan (Annual),"318,14"
2010年11月,Germany (Customs):Malaysia,<Actual> May (QTD) (FY2020),"33 600,00"
2011年04月,Germany (Customs):Moldova,<Actual> June (QTD) (FY2020),"60 480,00"
2010年12月,Germany (Customs):Morocco,<Actual> July (QTD) (FY2020),"138 060,00"
,Germany (Customs):Netherlands,<Actual> August (QTD) (FY2020),"138 060,00"
2010年12月,Germany (Customs):New Zealand,<Actual> September (QTD) (FY2020),"1 272,60"
,Germany (Customs):Norway,<Actual> October (QTD) (FY2020),"364,6"
,Germany (Customs):Peru,<Actual> November (QTD) (FY2020),141
,Germany (Customs):Poland,<Actual> December (QTD) (FY2020),141
,Germany (Customs):Portugal,<Actual> January (QTD) (FY2020),"16 262,40"
2010年12月,Germany (Customs):Qatar,<Actual> February (QTD) (FY2020),"114 945,60"
,Germany (Customs):Romania,<Actual> March (QTD) (FY2020),"105,2"
2011年03月,Germany (Customs):Russia,<Actual> April (QTD) (FY2021),"210,4"
2011年02月,Germany (Customs):Saudi Arabia,<Actual> May (QTD) (FY2021),"105,2"
,Germany (Customs):Serbia,<Actual> June (QTD) (FY2021),"278,78"
,Germany (Customs):Singapore,<Actual> July (QTD) (FY2021),"325,4"
2011年02月,Germany (Customs):Slovakia,<Actual> August (QTD) (FY2021),"3 644,00"
,Germany (Customs):Slovenia,<Actual> September (QTD) (FY2021),"10 350,00"
,Germany (Customs):South Africa,<Actual> October (QTD) (FY2021),"7 288,00"
2014年03月,Germany (Customs):Spain,<Actual> November (QTD) (FY2021),"10 350,00"
,Germany (Customs):Sweden,<Actual> December (QTD) (FY2021),"10 350,00"
2011年03月,Germany (Customs):Switzerland,<Actual> January (QTD) (FY2021),"3 644,00"
2011年08月,Germany (Customs):Taiwan,<Actual>February (QTD) (FY2021),"3 644,00"
2011年03月,Germany (Customs):Thailand,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"10 350,00"
,Germany (Customs):Turkey,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"3 644,00"
2010年08月,Germany (Customs):Ukraine,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"10 350,00"
2011年01月,Germany (Customs):United Arab Emirates,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"3 644,00"
,Germany (Customs):United Kingdom,<Submitted Budget(Dec)> FY2022_Plan (Annual),"7 288,00"
2011年09月,Germany (Customs):United States,<Submitted Budget(Dec)> FY2023_Plan (Annual),"10 350,00"
,Germany (Customs):Uruguay,<Final Budget(Dec)> FY2020_Final Budget (Annual),"3 644,00"
2011年03月,Germany (Customs):Vietnam,<Final Budget(Dec)> FY2021_Final Budget (Annual),"3 644,00"
2011年03月,Greece:Cyprus,<Final Budget(Dec)> FY2022_Plan (Annual),"10 350,00"
2011年03月,Greece:Germany,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"3 644,00"
2011年04月,Guatemala:El Salvador,<Final Budget(Apr)> FY2020_Final Budget (Annual),"4 350,00"
,Guatemala:Panama,<Final Budget(Apr)> FY2021_Final Budget (Annual),"7 288,00"
,Iran:Armenia,<Final Budget(Apr)> FY2022_Plan (Annual),"7 288,00"
2013年02月,Iran:Azerbaijan,<Final Budget(Apr)> FY2023_Plan (Annual),"3 644,00"
2013年02月,Iran:Iraq,<Actual> May (QTD) (FY2020),"7 288,00"
2013年02月,Ireland (Customs):Israel,<Actual> June (QTD) (FY2020),"18 220,00"
2013年02月,Ireland (Customs):Taiwan,<Actual> July (QTD) (FY2020),"63 104,00"
,Israel:Taiwan,<Actual> August (QTD) (FY2020),"78 880,00"
2013年02月,Japan:Bangladesh,<Actual> September (QTD) (FY2020),"15 776,00"
,Japan:Chile,<Actual> October (QTD) (FY2020),"47 328,00"
2013年02月,Japan:India,<Actual> November (QTD) (FY2020),"157 760,00"
,Japan:Indonesia,<Actual> December (QTD) (FY2020),"47 328,00"
2011年04月,"Japan:Korea, South",<Actual> January (QTD) (FY2020),"96 072,00"
,Japan:Malaysia,<Actual> February (QTD) (FY2020),"59 200,00"
2011年05月,Japan:Morocco,<Actual> March (QTD) (FY2020),"309 986,00"
,Japan:Philippines,<Actual> April (QTD) (FY2021),"185 000,00"
2011年06月,Japan:Singapore,<Actual> May (QTD) (FY2021),"481 000,00"
,Japan:Taiwan,<Actual> June (QTD) (FY2021),"404 489,60"
,Japan:Thailand,<Actual> July (QTD) (FY2021),"169 128,00"
,Japan:United States,<Actual> August (QTD) (FY2021),"34 529,60"
2011年04月,Japan:Vietnam,<Actual> September (QTD) (FY2021),"370 000,00"
,Kenya:Central African Republic,<Actual> October (QTD) (FY2021),"517 944,00"
2011年04月,Kenya:Malawi,<Actual> November (QTD) (FY2021),"236 779,20"
,Kenya:Rwanda,<Actual> December (QTD) (FY2021),"37 000,00"
2011年04月,Kenya:Tanzania,<Actual> January (QTD) (FY2021),"185 000,00"
2011年04月,Kenya:Uganda,<Actual>February (QTD) (FY2021),"370 000,00"
,Lithuania:Estonia,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"111 000,00"
2011年04月,Lithuania:Finland,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"74 000,00"
2011年06月,Lithuania:Latvia,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"64 540,00"
,New Zealand:Solomon Islands,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"629 000,00"
,Peru:Chile,<Submitted Budget(Dec)> FY2022_Plan (Annual),"46 000,00"
2010年07月,Peru:Dominican Republic,<Submitted Budget(Dec)> FY2023_Plan (Annual),"27 600,00"
,Peru:Panama,<Final Budget(Dec)> FY2020_Final Budget (Annual),"185 000,00"
2012年06月,Philippines:India,<Final Budget(Dec)> FY2021_Final Budget (Annual),"460 000,00"
,Philippines:Saudi Arabia,<Final Budget(Dec)> FY2022_Plan (Annual),"333 000,00"
,Poland (Customs):Austria,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"111 000,00"
,Poland (Customs):Czech Republic,<Final Budget(Apr)> FY2020_Final Budget (Annual),"22 200,00"
,Poland (Customs):Germany,<Final Budget(Apr)> FY2021_Final Budget (Annual),"111 000,00"
2011年04月,Poland (Customs):Hungary,<Final Budget(Apr)> FY2022_Plan (Annual),"444 000,00"
,Poland (Customs):Ireland,<Final Budget(Apr)> FY2023_Plan (Annual),"74 000,00"
,Poland (Customs):Italy,<Actual> May (QTD) (FY2020),"644 000,00"
2011年04月,Poland (Customs):Lithuania,<Actual> June (QTD) (FY2020),"185 000,00"
2011年09月,Poland (Customs):Slovakia,<Actual> July (QTD) (FY2020),"222 000,00"
2011年09月,Poland (Customs):United States,<Actual> August (QTD) (FY2020),"184 000,00"
2019年04月,Portugal:Angola,<Actual> September (QTD) (FY2020),"226 500,00"
2011年08月,Portugal:Ireland,<Actual> October (QTD) (FY2020),"990 000,00"
,Portugal:Spain,<Actual> November (QTD) (FY2020),"222 000,00"
,Qatar:Japan,<Actual> December (QTD) (FY2020),"226 500,00"
2011年10月,Qatar:Singapore,<Actual> January (QTD) (FY2020),"1 258 530,00"
2012年04月,Qatar:Switzerland,<Actual> February (QTD) (FY2020),"1 355 340,00"
,Qatar:United Arab Emirates,<Actual> March (QTD) (FY2020),"64 540,00"
,Russia:Albania,<Actual> April (QTD) (FY2021),"83 902,00"
2012年02月,Russia:Azerbaijan,<Actual> May (QTD) (FY2021),"12 908,00"
,Russia:Belarus,<Actual> June (QTD) (FY2021),"96 810,00"
2011年10月,Russia:Georgia,<Actual> July (QTD) (FY2021),"1 097 180,00"
,Russia:Germany,<Actual> August (QTD) (FY2021),"129 080,00"
2011年10月,Russia:Kazakhstan,<Actual> September (QTD) (FY2021),"677 670,00"
,Russia:Kyrgyzstan,<Actual> October (QTD) (FY2021),"290 430,00"
,Russia:Latvia,<Actual> November (QTD) (FY2021),"645 400,00"
,Russia:Lithuania,<Actual> December (QTD) (FY2021),"230 000,00"
,Russia:Moldova,<Actual> January (QTD) (FY2021),"230 000,00"
2012年03月,Russia:Mongolia,<Actual>February (QTD) (FY2021),"92 000,00"
,Russia:Ukraine,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"460 000,00"
2011年12月,Russia:Uzbekistan,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"21 200,00"
2011年08月,Serbia:Bosnia & Herzegovina,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"21 200,00"
,Serbia:Bulgaria,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"9 328,00"
2017年07月,Serbia:Greece,<Submitted Budget(Dec)> FY2022_Plan (Annual),"12 720,00"
2011年10月,Serbia:Montenegro,<Submitted Budget(Dec)> FY2023_Plan (Annual),"8 480,00"
,Serbia:Romania,<Final Budget(Dec)> FY2020_Final Budget (Annual),"74 880,00"
,"Singapore:Korea, South",<Final Budget(Dec)> FY2021_Final Budget (Annual),"124 800,00"
2011年10月,Singapore:Malaysia,<Final Budget(Dec)> FY2022_Plan (Annual),"193 100,00"
2011年11月,Singapore:Taiwan,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"251 030,00"
,South Africa:Botswana,<Final Budget(Apr)> FY2020_Final Budget (Annual),"174 720,00"
2012年01月,South Africa:Lesotho,<Final Budget(Apr)> FY2021_Final Budget (Annual),"38 620,00"
2010年03月,South Africa:Malawi,<Final Budget(Apr)> FY2022_Plan (Annual),"374 400,00"
2011年11月,South Africa:Namibia,<Final Budget(Apr)> FY2023_Plan (Annual),"359 400,00"
2013年06月,South Africa:Swaziland,<Actual> May (QTD) (FY2020),"263 560,00"
,South Africa:Zimbabwe,<Actual> June (QTD) (FY2020),"119 800,00"
2014年04月,South Korea:Australia,<Actual> July (QTD) (FY2020),"5 082,00"
,South Korea:Chile,<Actual> August (QTD) (FY2020),"7 966,60"
2012年02月,South Korea:China,<Actual> September (QTD) (FY2020),"5 380,00"
,South Korea:Hong Kong,<Actual> October (QTD) (FY2020),"53 600,00"
,South Korea:India,<Actual> November (QTD) (FY2020),"18 112,00"
2011年11月,South Korea:Indonesia,<Actual> December (QTD) (FY2020),"63 388,00"
,South Korea:Japan,<Actual> January (QTD) (FY2020),"82 680,00"
,South Korea:Malaysia,<Actual> February (QTD) (FY2020),"26 800,00"
,South Korea:Philippines,<Actual> March (QTD) (FY2020),"11 092,00"
,South Korea:Singapore,<Actual> April (QTD) (FY2021),"9 056,00"
,South Korea:Taiwan,<Actual> May (QTD) (FY2021),"80 400,00"
,South Korea:Thailand,<Actual> June (QTD) (FY2021),"16 968,00"
2013年09月,South Korea:Vietnam,<Actual> July (QTD) (FY2021),"18 112,00"
,Spain:Algeria,<Actual> August (QTD) (FY2021),"53 600,00"
,Spain:Andorra,<Actual> September (QTD) (FY2021),"18 000,00"
,Spain:Argentina,<Actual> October (QTD) (FY2021),"54 000,00"
2012年03月,Spain:Belgium,<Actual> November (QTD) (FY2021),"9 056,00"
,Spain:Bulgaria,<Actual> December (QTD) (FY2021),"18 476,00"
,Spain:Colombia,<Actual> January (QTD) (FY2021),"192 752,00"
2012年03月,Spain:Cyprus,<Actual>February (QTD) (FY2021),"276 000,00"
2011年12月,Spain:Czech Republic,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"165 600,00"
2012年04月,Spain:Egypt,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"226 848,00"
2012年11月,Spain:France,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"119 600,00"
2012年03月,Spain:Germany,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"110 400,00"
2011年10月,Spain:Greece,<Submitted Budget(Dec)> FY2022_Plan (Annual),"109 872,00"
,Spain:Hong Kong,<Submitted Budget(Dec)> FY2023_Plan (Annual),"258 132,00"
,Spain:Hungary,<Final Budget(Dec)> FY2020_Final Budget (Annual),"184 096,00"
2012年05月,Spain:Ireland,<Final Budget(Dec)> FY2021_Final Budget (Annual),"184 096,00"
,Spain:Italy,<Final Budget(Dec)> FY2022_Plan (Annual),"239 200,00"
,Spain:Malta,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"67 968,00"
2012年03月,Spain:Melilla,<Final Budget(Apr)> FY2020_Final Budget (Annual),"184 000,00"
2012年04月,Spain:Mexico,<Final Budget(Apr)> FY2021_Final Budget (Annual),"16 992,00"
2012年04月,Spain:Moldova,<Final Budget(Apr)> FY2022_Plan (Annual),"53 376,00"
,Spain:Montenegro,<Final Budget(Apr)> FY2023_Plan (Annual),"73 248,00"
2012年03月,Spain:Morocco,<Actual> May (QTD) (FY2020),"226 824,00"
,Spain:Netherlands,<Actual> June (QTD) (FY2020),"283 046,40"
,Spain:New Zealand,<Actual> July (QTD) (FY2020),"183 204,00"
2013年03月,Spain:Niger,<Actual> August (QTD) (FY2020),"226 824,00"
,Spain:Peru,<Actual> September (QTD) (FY2020),"95 964,00"
2012年07月,Spain:Poland,<Actual> October (QTD) (FY2020),"16 992,00"
,Spain:Portugal,<Actual> November (QTD) (FY2020),"26 956,80"
,Spain:Romania,<Actual> December (QTD) (FY2020),"16 992,00"
,Spain:Russia,<Actual> January (QTD) (FY2020),"104 688,00"
,Spain:Sweden,<Actual> February (QTD) (FY2020),"104 688,00"
,Spain:Switzerland,<Actual> March (QTD) (FY2020),"494 560,00"
,Spain:Tunisia,<Actual> April (QTD) (FY2021),"287 744,00"
,Spain:Turkey,<Actual> May (QTD) (FY2021),"33 984,00"
,Spain (Customs):Algeria,<Actual> June (QTD) (FY2021),"479 820,00"
,Spain (Customs):Andorra,<Actual> July (QTD) (FY2021),"279 168,00"
2012年05月,Spain (Customs):Argentina,<Actual> August (QTD) (FY2021),"33 984,00"
2012年09月,Spain (Customs):Belgium,<Actual> September (QTD) (FY2021),"727 833,60"
2012年07月,Spain (Customs):Bulgaria,<Actual> October (QTD) (FY2021),"215 808,00"
,Spain (Customs):Colombia,<Actual> November (QTD) (FY2021),"33 984,00"
2012年07月,Spain (Customs):Cyprus,<Actual> December (QTD) (FY2021),"467 584,00"
2012年08月,Spain (Customs):Czech Republic,<Actual> January (QTD) (FY2021),"134 784,00"
2020年06月,Spain (Customs):Egypt,<Actual>February (QTD) (FY2021),"197 824,00"
,Spain (Customs):France,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"197 824,00"
,Spain (Customs):Germany,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"134 784,00"
,Spain (Customs):Greece,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"179 840,00"
,Spain (Customs):Hong Kong,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"89 920,00"
,Spain (Customs):Hungary,<Submitted Budget(Dec)> FY2022_Plan (Annual),"341 696,00"
2012年08月,Spain (Customs):Ireland,<Submitted Budget(Dec)> FY2023_Plan (Annual),"283 046,40"
,Spain (Customs):Italy,<Final Budget(Dec)> FY2020_Final Budget (Annual),"238 784,00"
,Spain (Customs):Malta,<Final Budget(Dec)> FY2021_Final Budget (Annual),"238 784,00"
2018年11月,Spain (Customs):Mexico,<Final Budget(Dec)> FY2022_Plan (Annual),"86 652,00"
2013年07月,Spain (Customs):Moldova,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"679 616,00"
,Spain (Customs):Montenegro,<Final Budget(Apr)> FY2020_Final Budget (Annual),"238 784,00"
,Spain (Customs):Morocco,<Final Budget(Apr)> FY2021_Final Budget (Annual),"266 336,00"
